timestamp,time,open,high,low,close,volume
1695880800000,1695880800000,6.976,7.115,6.969,7.057,574584.2
1695902400000,1695902400000,7.057,7.173,7.043,7.155,694226.6
1695924000000,1695924000000,7.155,7.189,7.072,7.101,333420.1
1695945600000,1695945600000,7.101,7.135,7.067,7.132,245760.0
1695967200000,1695967200000,7.132,7.194,7.112,7.144,444637.9
1695988800000,1695988800000,7.144,7.173,7.067,7.104,528528.3
1696010400000,1696010400000,7.104,7.155,7.081,7.098,208651.3
1696032000000,1696032000000,7.098,7.154,7.084,7.149,153638.2
1696053600000,1696053600000,7.149,7.258,7.148,7.2,546672.7
1696075200000,1696075200000,7.2,7.265,7.19,7.236,336462.0
1696096800000,1696096800000,7.236,7.299,7.218,7.232,323316.0
1696118400000,1696118400000,7.232,7.248,7.17,7.204,264909.5
1696140000000,1696140000000,7.204,7.338,7.204,7.299,522714.3
1696161600000,1696161600000,7.299,7.417,7.273,7.347,956949.5
1696183200000,1696183200000,7.347,7.67,7.342,7.566,1312271.8
1696204800000,1696204800000,7.566,7.586,7.441,7.47,699063.4
1696226400000,1696226400000,7.47,7.585,7.461,7.478,1090634.9
1696248000000,1696248000000,7.478,7.51,7.254,7.354,1551207.7
1696269600000,1696269600000,7.354,7.355,7.078,7.141,1610504.9
1696291200000,1696291200000,7.141,7.213,7.093,7.176,431770.4
1696312800000,1696312800000,7.176,7.28,7.16,7.194,733513.9
1696334400000,1696334400000,7.194,7.239,7.122,7.212,663381.6
1696356000000,1696356000000,7.212,7.217,6.996,7.058,1025284.8
1696377600000,1696377600000,7.058,7.061,6.831,6.973,993812.4
1696399200000,1696399200000,6.973,7.059,6.943,6.996,607692.2
1696420800000,1696420800000,6.996,7.059,6.911,6.951,657374.7
1696442400000,1696442400000,6.951,7.001,6.91,6.957,776865.9
1696464000000,1696464000000,6.957,6.992,6.888,6.932,373341.3
1696485600000,1696485600000,6.932,6.969,6.902,6.929,340244.0
1696507200000,1696507200000,6.929,6.981,6.76,6.803,1351283.2
1696528800000,1696528800000,6.803,6.857,6.763,6.827,287366.0
1696550400000,1696550400000,6.827,6.892,6.826,6.862,297857.2
1696572000000,1696572000000,6.862,6.915,6.846,6.861,559877.5
1696593600000,1696593600000,6.861,6.975,6.801,6.923,1079518.3
1696615200000,1696615200000,6.923,6.961,6.882,6.904,251544.6
1696636800000,1696636800000,6.904,6.944,6.896,6.939,151084.5
1696658400000,1696658400000,6.939,6.987,6.893,6.94,373625.3
1696680000000,1696680000000,6.94,6.975,6.856,6.957,630468.9
1696701600000,1696701600000,6.957,6.977,6.914,6.958,314165.3
1696723200000,1696723200000,6.958,6.971,6.886,6.923,240256.1
1696744800000,1696744800000,6.923,6.951,6.847,6.86,340683.7
1696766400000,1696766400000,6.86,6.919,6.846,6.87,338563.0
1696788000000,1696788000000,6.87,6.984,6.84,6.936,458485.4
1696809600000,1696809600000,6.936,6.953,6.881,6.898,215707.5
1696831200000,1696831200000,6.898,6.916,6.586,6.677,1515463.9
1696852800000,1696852800000,6.677,6.751,6.563,6.685,1241025.6
