timestamp,time,open,high,low,close,volume
1757419200000,1757419200000,0.2767,0.2767,0.1743,0.2281,111223604.0
1757440800000,1757440800000,0.2281,0.3372,0.2042,0.2123,113398696.0
1757462400000,1757462400000,0.2123,0.2537,0.1907,0.2398,105326943.0
1757484000000,1757484000000,0.2398,0.3333,0.2034,0.2908,177339201.0
1757505600000,1757505600000,0.2908,0.3969,0.2712,0.3529,219898556.0
1757527200000,1757527200000,0.3529,0.3822,0.3244,0.3519,85633896.0
1757548800000,1757548800000,0.3519,0.3778,0.3255,0.3291,66288744.0
1757570400000,1757570400000,0.3291,0.335,0.2863,0.3142,66865332.0
1757592000000,1757592000000,0.3142,0.3247,0.27,0.2885,56692897.0
1757613600000,1757613600000,0.2885,0.316,0.2809,0.3083,37468921.0
1757635200000,1757635200000,0.3083,0.3284,0.2824,0.3156,48911599.0
1757656800000,1757656800000,0.3156,0.3221,0.2863,0.3098,39368102.0
1757678400000,1757678400000,0.3098,0.4535,0.3089,0.4106,134273911.0
1757700000000,1757700000000,0.4106,0.4816,0.3937,0.459,80074663.0
1757721600000,1757721600000,0.459,0.4761,0.3965,0.4147,42834093.0
1757743200000,1757743200000,0.4147,0.4566,0.4142,0.4376,39013168.0
1757764800000,1757764800000,0.4376,0.5038,0.417,0.4819,35177042.0
1757786400000,1757786400000,0.4819,0.7967,0.4813,0.7706,147665479.0
1757808000000,1757808000000,0.7706,0.8482,0.7016,0.8256,107398585.0
1757829600000,1757829600000,0.8256,0.9383,0.7579,0.8385,112532398.0
1757851200000,1757851200000,0.8385,0.8686,0.7843,0.8098,81333166.0
1757872800000,1757872800000,0.8098,0.8509,0.7551,0.8176,63264004.0
1757894400000,1757894400000,0.8176,1.3907,0.775,1.3889,258749933.0
1757916000000,1757916000000,1.3889,1.5861,1.1406,1.2584,247724203.0
1757937600000,1757937600000,1.2584,1.2679,1.0501,1.1849,115907804.0
1757959200000,1757959200000,1.1849,1.266,1.1473,1.242,70993698.0
1757980800000,1757980800000,1.242,1.3058,1.0851,1.1625,56048305.0
1758002400000,1758002400000,1.1625,1.2034,0.953,1.0042,72111523.0
1758024000000,1758024000000,1.0042,1.04,0.9065,0.9598,65584038.0
1758045600000,1758045600000,0.9598,1.0918,0.9581,1.0182,37622684.0
1758067200000,1758067200000,1.0182,1.0271,0.9197,0.942,31553392.0
1758088800000,1758088800000,0.942,0.9595,0.901,0.9432,26686579.0
1758110400000,1758110400000,0.9432,1.0802,0.9262,0.9774,62328691.0
1758132000000,1758132000000,0.9774,1.0774,0.9736,1.0641,39533112.0
1758153600000,1758153600000,1.0641,1.2132,1.0305,1.1818,55635617.0
1758175200000,1758175200000,1.1818,1.1833,1.0982,1.1186,31574724.0
1758196800000,1758196800000,1.1186,1.144,1.0601,1.1181,22306200.0
1758218400000,1758218400000,1.1181,1.1513,1.0878,1.101,15964210.0
1758240000000,1758240000000,1.101,1.1555,0.994,1.0105,33464907.0
1758261600000,1758261600000,1.0105,1.0544,1.0072,1.0492,13215827.0
1758283200000,1758283200000,1.0492,1.1291,1.0335,1.1198,25480302.0
1758304800000,1758304800000,1.1198,1.1369,1.0809,1.1068,16132311.0
1758326400000,1758326400000,1.1068,1.1518,1.0521,1.1232,21940512.0
1758348000000,1758348000000,1.1232,1.3952,1.1147,1.3945,65111813.0
1758369600000,1758369600000,1.3945,1.4997,1.3357,1.4713,73839868.0
1758391200000,1758391200000,1.4713,1.4752,1.3623,1.4734,31256437.0
1758412800000,1758412800000,1.4734,2.0814,1.4574,2.0424,125271227.0
1758434400000,1758434400000,2.0424,2.4776,1.8424,1.8807,170863675.0
1758456000000,1758456000000,1.8807,2.383,1.8518,2.1406,118460648.0
1758477600000,1758477600000,2.1406,2.448,2.0489,2.362,74183789.0
1758499200000,1758499200000,2.362,2.6684,2.1514,2.3648,113571574.0
1758520800000,1758520800000,2.3648,2.4226,1.9649,2.1059,79204497.0
1758542400000,1758542400000,2.1059,2.22,1.83,2.0454,58658311.0
1758564000000,1758564000000,2.0454,2.1234,1.9243,2.0625,32157641.0
1758585600000,1758585600000,2.0625,2.1392,1.7435,2.0273,46530849.0
1758607200000,1758607200000,2.0273,2.1225,1.882,1.9355,45431282.0
1758628800000,1758628800000,1.9355,2.2684,1.9319,2.105,54255452.0
1758650400000,1758650400000,2.105,2.1699,1.9185,1.9895,39576550.0
1758672000000,1758672000000,1.9895,2.0248,1.8614,1.9886,33215451.0
1758693600000,1758693600000,1.9886,2.148,1.9339,2.088,30515120.0
1758715200000,1758715200000,2.088,2.1943,1.9785,2.142,36004460.0
1758736800000,1758736800000,2.142,2.2495,2.062,2.2075,28992305.0
1758758400000,1758758400000,2.2075,2.3368,1.9661,2.0477,45063707.0
1758780000000,1758780000000,2.0477,2.0692,1.9075,1.9259,24896724.0
1758801600000,1758801600000,1.9259,1.9745,1.5689,1.5833,60622198.0
1758823200000,1758823200000,1.5833,1.6911,1.5537,1.5889,30343338.0
1758844800000,1758844800000,1.5889,1.624,1.4486,1.521,46901793.0
1758866400000,1758866400000,1.521,1.5931,1.48,1.4879,28099483.0
1758888000000,1758888000000,1.4879,1.7059,1.4479,1.6924,37320326.0
1758909600000,1758909600000,1.6924,1.778,1.5672,1.6492,26173188.0
1758931200000,1758931200000,1.6492,1.7429,1.5557,1.5679,20076554.0
1758952800000,1758952800000,1.5679,1.5787,1.4822,1.53,14528884.0
1758974400000,1758974400000,1.53,1.6298,1.5219,1.5418,16893857.0
1758996000000,1758996000000,1.5418,1.5683,1.5053,1.5226,8913725.0
1759017600000,1759017600000,1.5226,1.5316,1.3554,1.3802,19894348.0
1759039200000,1759039200000,1.3802,1.4025,1.3429,1.3773,11813647.0
1759060800000,1759060800000,1.3773,1.4268,1.3603,1.3888,13888155.0
1759082400000,1759082400000,1.3888,1.5205,1.3735,1.483,16533618.0
1759104000000,1759104000000,1.483,1.4871,1.3845,1.4578,14003710.0
1759125600000,1759125600000,1.4578,1.4973,1.2316,1.2436,24115126.0
1759147200000,1759147200000,1.2436,1.2673,1.0636,1.1139,45397450.0
1759168800000,1759168800000,1.1139,1.1714,1.0843,1.128,19659623.0
1759190400000,1759190400000,1.128,1.1532,1.0501,1.098,20252615.0
1759212000000,1759212000000,1.098,1.2364,1.0819,1.1603,48545643.0
1759233600000,1759233600000,1.1603,1.2371,1.1248,1.2094,36259824.0
1759255200000,1759255200000,1.2094,1.3235,1.1988,1.2933,27970300.0
1759276800000,1759276800000,1.2933,1.2966,1.1776,1.1885,20564236.0
1759298400000,1759298400000,1.1885,1.2556,1.1566,1.2272,15936538.0
1759320000000,1759320000000,1.2272,1.2701,1.1689,1.2004,15427038.0
1759341600000,1759341600000,1.2004,1.2093,1.1461,1.1936,13549871.0
1759363200000,1759363200000,1.1936,1.2074,1.1541,1.1646,9778246.0
1759384800000,1759384800000,1.1646,1.2351,1.1641,1.181,18265631.0
1759406400000,1759406400000,1.181,1.2076,1.1019,1.1157,16520942.0
1759428000000,1759428000000,1.1157,1.1451,1.1087,1.1309,5282795.0
1759449600000,1759449600000,1.1309,1.1785,1.0822,1.1717,13503138.0
1759471200000,1759471200000,1.1717,1.2088,1.1467,1.1796,11114545.0
1759492800000,1759492800000,1.1796,1.2321,1.1513,1.1821,15119642.0
1759514400000,1759514400000,1.1821,1.3002,1.1711,1.2534,16533335.0
1759536000000,1759536000000,1.2534,1.258,1.1804,1.2007,7612731.0
1759557600000,1759557600000,1.2007,1.2877,1.1953,1.2023,12165008.0
1759579200000,1759579200000,1.2023,1.2468,1.1525,1.1779,9228175.0
1759600800000,1759600800000,1.1779,1.1894,1.155,1.1582,3993009.0
1759622400000,1759622400000,1.1582,1.1856,1.1154,1.1655,9316787.0
1759644000000,1759644000000,1.1655,1.171,1.1073,1.127,9292639.0
1759665600000,1759665600000,1.127,1.1455,1.1101,1.1174,6104576.0
1759687200000,1759687200000,1.1174,1.1274,1.0982,1.1203,4358237.0
1759708800000,1759708800000,1.1203,1.1503,1.1085,1.1263,5932540.0
1759730400000,1759730400000,1.1263,1.1526,1.1189,1.1329,7162343.0
1759752000000,1759752000000,1.1329,1.1503,1.0907,1.1019,8888570.0
1759773600000,1759773600000,1.1019,1.1362,1.0933,1.1298,5767483.0
1759795200000,1759795200000,1.1298,1.1302,1.0785,1.1021,4546699.0
1759816800000,1759816800000,1.1021,1.1029,1.0521,1.0929,8905959.0
1759838400000,1759838400000,1.0929,1.1051,0.964,0.9738,17425280.0
1759860000000,1759860000000,0.9738,0.9876,0.9517,0.955,7363211.0
1759881600000,1759881600000,0.955,0.9589,0.8696,0.8793,16139715.0
1759903200000,1759903200000,0.8793,0.9208,0.8733,0.8955,8907234.0
1759924800000,1759924800000,0.8955,0.9584,0.8854,0.935,10020114.0
1759946400000,1759946400000,0.935,0.9458,0.902,0.9147,4441629.0
1759968000000,1759968000000,0.9147,0.9159,0.8559,0.8789,6057303.0
1759989600000,1759989600000,0.8789,0.8825,0.8024,0.8217,11358012.0
1760011200000,1760011200000,0.8217,0.8479,0.8078,0.837,9107310.0
1760032800000,1760032800000,0.837,0.84,0.7937,0.8288,5084149.0
1760054400000,1760054400000,0.8288,0.8885,0.8246,0.8662,12044076.0
1760076000000,1760076000000,0.8662,0.8753,0.8231,0.8702,7295224.0
1760097600000,1760097600000,0.8702,0.8907,0.7807,0.7966,15998840.0
1760119200000,1760119200000,0.7966,0.8107,0.1863,0.5549,60933312.0
1760140800000,1760140800000,0.5549,0.6444,0.5397,0.6252,32532929.0
1760162400000,1760162400000,0.6252,0.6982,0.6238,0.6418,27815488.0
1760184000000,1760184000000,0.6418,0.6683,0.6191,0.6293,14106575.0
1760205600000,1760205600000,0.6293,0.6293,0.5787,0.6014,11138881.0
1760227200000,1760227200000,0.6014,0.6888,0.5939,0.6512,27168185.0
1760248800000,1760248800000,0.6512,0.6647,0.6388,0.6576,9781836.0
1760270400000,1760270400000,0.6576,0.7081,0.6189,0.6912,17310200.0
1760292000000,1760292000000,0.6912,0.6952,0.6525,0.6614,9380537.0
1760313600000,1760313600000,0.6614,0.6751,0.6352,0.6399,10399023.0
1760335200000,1760335200000,0.6399,0.6662,0.6287,0.6339,7971016.0
1760356800000,1760356800000,0.6339,0.6448,0.6137,0.6351,11697123.0
1760378400000,1760378400000,0.6351,0.6609,0.6275,0.6587,7218548.0
1760400000000,1760400000000,0.6587,0.6888,0.6158,0.6191,11317468.0
1760421600000,1760421600000,0.6191,0.6236,0.571,0.5896,11703623.0
1760443200000,1760443200000,0.5896,0.6293,0.5778,0.6056,9173014.0
1760464800000,1760464800000,0.6056,0.6218,0.6026,0.6161,5419172.0
1760486400000,1760486400000,0.6161,0.6302,0.6033,0.6164,6139284.0
1760508000000,1760508000000,0.6164,0.6402,0.6071,0.6086,8997479.0
1760529600000,1760529600000,0.6086,0.6325,0.5847,0.5956,11565064.0
1760551200000,1760551200000,0.5956,0.5969,0.5725,0.5895,5617865.0
1760572800000,1760572800000,0.5895,0.5984,0.5758,0.5917,5774124.0
1760594400000,1760594400000,0.5917,0.6065,0.5737,0.6027,6502901.0
1760616000000,1760616000000,0.6027,0.6099,0.554,0.5585,10723603.0
1760637600000,1760637600000,0.5585,0.5625,0.5388,0.55,4931779.0
1760659200000,1760659200000,0.55,0.5534,0.5233,0.5312,5853522.0
1760680800000,1760680800000,0.5312,0.5358,0.4806,0.5042,12410859.0
1760702400000,1760702400000,0.5042,0.5131,0.4829,0.4934,7731472.0
1760724000000,1760724000000,0.4934,0.5099,0.4887,0.5043,2801928.0
