timestamp,time,open,high,low,close,volume
1695880800000,1695880800000,4.444,4.481,4.416,4.452,250440.0
1695902400000,1695902400000,4.452,4.533,4.44,4.51,349682.8
1695924000000,1695924000000,4.51,4.524,4.478,4.511,192229.5
1695945600000,1695945600000,4.511,4.543,4.496,4.532,199740.0
1695967200000,1695967200000,4.532,4.574,4.51,4.549,288075.2
1695988800000,1695988800000,4.549,4.56,4.464,4.532,542960.9
1696010400000,1696010400000,4.532,4.604,4.524,4.592,299194.7
1696032000000,1696032000000,4.592,4.642,4.536,4.548,390394.5
1696053600000,1696053600000,4.548,4.565,4.524,4.533,267067.6
1696075200000,1696075200000,4.533,4.602,4.532,4.577,320226.9
1696096800000,1696096800000,4.577,4.613,4.564,4.581,192993.0
1696118400000,1696118400000,4.581,4.633,4.567,4.626,240468.1
1696140000000,1696140000000,4.626,4.742,4.584,4.712,972296.7
1696161600000,1696161600000,4.712,4.747,4.657,4.669,705859.3
1696183200000,1696183200000,4.669,4.808,4.664,4.783,617127.3
1696204800000,1696204800000,4.783,4.793,4.676,4.691,549593.8
1696226400000,1696226400000,4.691,4.75,4.69,4.699,426807.5
1696248000000,1696248000000,4.699,4.718,4.536,4.64,871384.8
1696269600000,1696269600000,4.64,4.653,4.43,4.575,1222955.6
1696291200000,1696291200000,4.575,4.626,4.563,4.575,416553.4
1696312800000,1696312800000,4.575,4.601,4.547,4.564,343742.6
1696334400000,1696334400000,4.564,4.566,4.487,4.509,415377.8
1696356000000,1696356000000,4.509,4.559,4.476,4.504,464203.2
1696377600000,1696377600000,4.504,4.514,4.324,4.438,1015183.1
1696399200000,1696399200000,4.438,4.473,4.409,4.44,342098.0
1696420800000,1696420800000,4.44,4.452,4.394,4.44,373992.9
1696442400000,1696442400000,4.44,4.504,4.434,4.48,269074.6
1696464000000,1696464000000,4.48,4.511,4.446,4.482,246480.5
1696485600000,1696485600000,4.482,4.494,4.447,4.47,184907.5
1696507200000,1696507200000,4.47,4.487,4.373,4.422,564098.5
1696528800000,1696528800000,4.422,4.432,4.4,4.402,137820.8
1696550400000,1696550400000,4.402,4.458,4.401,4.449,167692.4
1696572000000,1696572000000,4.449,4.49,4.439,4.476,193539.4
1696593600000,1696593600000,4.476,4.521,4.43,4.517,607552.3
1696615200000,1696615200000,4.517,4.541,4.5,4.501,167429.7
1696636800000,1696636800000,4.501,4.513,4.469,4.498,198115.6
1696658400000,1696658400000,4.498,4.504,4.466,4.471,182935.2
1696680000000,1696680000000,4.471,4.492,4.459,4.477,188022.1
1696701600000,1696701600000,4.477,4.513,4.465,4.501,127249.8
1696723200000,1696723200000,4.501,4.522,4.43,4.448,220906.6
1696744800000,1696744800000,4.448,4.48,4.434,4.446,213993.8
1696766400000,1696766400000,4.446,4.485,4.44,4.459,195364.1
1696788000000,1696788000000,4.459,4.464,4.431,4.449,152246.0
1696809600000,1696809600000,4.449,4.5,4.436,4.447,496207.3
1696831200000,1696831200000,4.447,4.453,4.222,4.277,1154728.8
1696852800000,1696852800000,4.277,4.307,4.152,4.249,871390.9
1696874400000,1696874400000,4.249,4.286,4.246,4.286,284344.9
1696896000000,1696896000000,4.286,4.302,4.258,4.288,248558.5
1696917600000,1696917600000,4.288,4.309,4.255,4.258,335540.9
1696939200000,1696939200000,4.258,4.278,4.222,4.232,417935.2
1696960800000,1696960800000,4.232,4.27,4.178,4.258,242395.5
1696982400000,1696982400000,4.258,4.275,4.14,4.186,451416.5
1697004000000,1697004000000,4.186,4.229,4.165,4.209,307516.7
1697025600000,1697025600000,4.209,4.222,4.127,4.16,501977.2
1697047200000,1697047200000,4.16,4.215,4.147,4.213,142639.6
1697068800000,1697068800000,4.213,4.213,4.15,4.209,162511.6
1697090400000,1697090400000,4.209,4.249,4.141,4.214,438555.1
1697112000000,1697112000000,4.214,4.244,4.172,4.22,591953.0
1697133600000,1697133600000,4.22,4.234,4.207,4.218,241658.3
1697155200000,1697155200000,4.218,4.233,4.179,4.199,210374.9
1697176800000,1697176800000,4.199,4.236,4.189,4.216,211559.5
1697198400000,1697198400000,4.216,4.236,4.178,4.204,365885.6
1697220000000,1697220000000,4.204,4.272,4.184,4.216,679546.5
1697241600000,1697241600000,4.216,4.381,4.209,4.276,1729904.6
1697263200000,1697263200000,4.276,4.297,4.248,4.257,1136024.0
1697284800000,1697284800000,4.257,4.292,4.252,4.28,344963.9
1697306400000,1697306400000,4.28,4.298,4.27,4.294,246987.9
1697328000000,1697328000000,4.294,4.323,4.244,4.293,468127.0
1697349600000,1697349600000,4.293,4.32,4.277,4.282,289691.6
1697371200000,1697371200000,4.282,4.299,4.241,4.296,389859.1
1697392800000,1697392800000,4.296,4.31,4.262,4.273,267754.9
1697414400000,1697414400000,4.273,4.357,4.263,4.353,591635.0
1697436000000,1697436000000,4.353,4.356,4.293,4.317,278621.5
1697457600000,1697457600000,4.317,4.453,4.261,4.291,1371310.5
1697479200000,1697479200000,4.291,4.329,4.285,4.311,244441.8
1697500800000,1697500800000,4.311,4.35,4.276,4.305,754528.9
1697522400000,1697522400000,4.305,4.306,4.266,4.271,552528.0
1697544000000,1697544000000,4.271,4.306,4.147,4.196,1412020.1
1697565600000,1697565600000,4.196,4.225,4.161,4.222,310675.8
1697587200000,1697587200000,4.222,4.255,4.159,4.22,524214.8
1697608800000,1697608800000,4.22,4.237,4.187,4.194,300921.1
1697630400000,1697630400000,4.194,4.2,4.122,4.131,331765.7
1697652000000,1697652000000,4.131,4.149,4.106,4.134,319776.4
1697673600000,1697673600000,4.134,4.154,4.042,4.09,642637.4
1697695200000,1697695200000,4.09,4.108,4.076,4.107,353261.4
1697716800000,1697716800000,4.107,4.172,4.098,4.121,617206.1
1697738400000,1697738400000,4.121,4.151,4.11,4.128,295938.6
1697760000000,1697760000000,4.128,4.204,4.092,4.201,448608.0
1697781600000,1697781600000,4.201,4.286,4.175,4.248,658673.1
1697803200000,1697803200000,4.248,4.272,4.193,4.233,522251.6
1697824800000,1697824800000,4.233,4.244,4.201,4.241,139298.8
1697846400000,1697846400000,4.241,4.303,4.222,4.251,611473.8
1697868000000,1697868000000,4.251,4.333,4.244,4.313,455688.1
1697889600000,1697889600000,4.313,4.483,4.307,4.463,856224.9
1697911200000,1697911200000,4.463,4.485,4.397,4.404,372679.4
1697932800000,1697932800000,4.404,4.499,4.395,4.484,328542.8
1697954400000,1697954400000,4.484,4.488,4.341,4.382,653227.3
1697976000000,1697976000000,4.382,4.404,4.341,4.395,407177.8
1697997600000,1697997600000,4.395,4.463,4.357,4.448,244631.4
1698019200000,1698019200000,4.448,4.572,4.445,4.512,1209155.2
1698040800000,1698040800000,4.512,4.535,4.41,4.455,427397.4
1698062400000,1698062400000,4.455,4.512,4.412,4.477,484370.9
1698084000000,1698084000000,4.477,4.728,4.462,4.679,1154351.0
1698105600000,1698105600000,4.679,4.827,4.649,4.677,742733.2
1698127200000,1698127200000,4.677,4.715,4.587,4.714,485310.0
1698148800000,1698148800000,4.714,4.785,4.484,4.615,1431945.7
1698170400000,1698170400000,4.615,4.707,4.548,4.688,382282.2
1698192000000,1698192000000,4.688,4.747,4.62,4.639,454552.3
1698213600000,1698213600000,4.639,4.685,4.534,4.63,435365.0
1698235200000,1698235200000,4.63,4.772,4.624,4.672,672321.0
1698256800000,1698256800000,4.672,4.715,4.638,4.714,322317.1
1698278400000,1698278400000,4.714,4.814,4.694,4.75,584440.3
1698300000000,1698300000000,4.75,4.968,4.699,4.867,1850169.7
1698321600000,1698321600000,4.867,4.965,4.611,4.826,1848029.5
1698343200000,1698343200000,4.826,4.883,4.799,4.883,386006.3
1698364800000,1698364800000,4.883,4.885,4.723,4.818,691754.9
1698386400000,1698386400000,4.818,4.827,4.721,4.807,646482.4
1698408000000,1698408000000,4.807,4.865,4.693,4.711,831563.0
1698429600000,1698429600000,4.711,4.752,4.648,4.711,333912.7
1698451200000,1698451200000,4.711,4.87,4.701,4.853,333861.8
1698472800000,1698472800000,4.853,4.922,4.821,4.851,343006.0
1698494400000,1698494400000,4.851,4.909,4.788,4.902,272364.8
1698516000000,1698516000000,4.902,5.123,4.901,5.111,1463615.9
1698537600000,1698537600000,5.111,5.141,4.941,4.971,737780.2
1698559200000,1698559200000,4.971,5.035,4.956,5.009,332291.9
1698580800000,1698580800000,5.009,5.806,4.99,5.674,7362965.3
1698602400000,1698602400000,5.674,5.748,5.596,5.637,1668837.3
1698624000000,1698624000000,5.637,5.973,5.581,5.786,4377342.9
1698645600000,1698645600000,5.786,5.975,5.731,5.776,3046023.2
1698667200000,1698667200000,5.776,5.883,5.619,5.726,2131060.2
1698688800000,1698688800000,5.726,5.775,5.713,5.749,558840.5
1698710400000,1698710400000,5.749,5.766,5.573,5.669,1242821.0
1698732000000,1698732000000,5.669,5.708,5.488,5.564,1634174.8
1698753600000,1698753600000,5.564,5.573,5.236,5.382,2656019.7
1698775200000,1698775200000,5.382,5.467,5.316,5.455,577108.6
1698796800000,1698796800000,5.455,5.469,5.221,5.236,699449.0
1698818400000,1698818400000,5.236,5.31,5.172,5.252,695608.5
1698840000000,1698840000000,5.252,5.357,5.172,5.337,1053160.4
1698861600000,1698861600000,5.337,5.596,5.318,5.524,1234223.5
1698883200000,1698883200000,5.524,5.728,5.488,5.537,1392241.9
1698904800000,1698904800000,5.537,5.604,5.502,5.578,522579.8
1698926400000,1698926400000,5.578,5.61,5.284,5.42,1262876.5
1698948000000,1698948000000,5.42,5.48,5.384,5.443,423592.0
1698969600000,1698969600000,5.443,5.444,5.226,5.346,713774.1
1698991200000,1698991200000,5.346,5.369,5.251,5.334,617724.1
1699012800000,1699012800000,5.334,5.408,5.305,5.36,528921.9
1699034400000,1699034400000,5.36,5.459,5.346,5.432,491259.3
1699056000000,1699056000000,5.432,5.524,5.415,5.492,758804.9
1699077600000,1699077600000,5.492,5.625,5.492,5.523,674711.1
1699099200000,1699099200000,5.523,5.588,5.457,5.531,414613.0
1699120800000,1699120800000,5.531,5.631,5.512,5.588,265949.3
1699142400000,1699142400000,5.588,5.731,5.585,5.668,964901.9
1699164000000,1699164000000,5.668,5.865,5.63,5.75,747499.7
1699185600000,1699185600000,5.75,5.87,5.612,5.717,840270.6
1699207200000,1699207200000,5.717,5.769,5.601,5.718,493509.0
1699228800000,1699228800000,5.718,5.93,5.698,5.792,1457360.4
1699250400000,1699250400000,5.792,6.174,5.779,6.096,1786957.9
1699272000000,1699272000000,6.096,6.171,5.942,5.956,953402.8
1699293600000,1699293600000,5.956,6.028,5.917,6.009,484290.2
1699315200000,1699315200000,6.009,6.066,5.821,5.937,920769.2
1699336800000,1699336800000,5.937,6.052,5.795,5.83,856864.9
1699358400000,1699358400000,5.83,5.857,5.63,5.771,710574.3
1699380000000,1699380000000,5.771,5.945,5.768,5.862,911181.5
1699401600000,1699401600000,5.862,5.931,5.84,5.852,554360.4
