timestamp,time,open,high,low,close,volume
1695880800000,1695880800000,0.514,0.522,0.513,0.517,3749021.2
1695902400000,1695902400000,0.517,0.529,0.515,0.522,10437584.0
1695924000000,1695924000000,0.522,0.522,0.515,0.516,3634591.3
1695945600000,1695945600000,0.516,0.521,0.512,0.52,3527426.2
1695967200000,1695967200000,0.52,0.526,0.518,0.52,4279976.8
1695988800000,1695988800000,0.52,0.532,0.518,0.519,6224939.3
1696010400000,1696010400000,0.519,0.524,0.518,0.522,3075346.5
1696032000000,1696032000000,0.522,0.523,0.518,0.521,3259176.8
1696053600000,1696053600000,0.521,0.527,0.52,0.523,3740345.4
1696075200000,1696075200000,0.523,0.54,0.522,0.534,8788763.7
1696096800000,1696096800000,0.534,0.534,0.512,0.519,7662694.4
1696118400000,1696118400000,0.519,0.525,0.516,0.524,4198027.8
1696140000000,1696140000000,0.524,0.531,0.518,0.524,5530266.8
1696161600000,1696161600000,0.524,0.525,0.515,0.516,4609503.0
1696183200000,1696183200000,0.516,0.546,0.515,0.538,14760680.2
1696204800000,1696204800000,0.538,0.538,0.523,0.523,5339971.5
1696226400000,1696226400000,0.523,0.528,0.517,0.518,3482999.1
1696248000000,1696248000000,0.518,0.52,0.503,0.508,11274172.6
1696269600000,1696269600000,0.508,0.508,0.483,0.498,15102134.1
1696291200000,1696291200000,0.498,0.502,0.493,0.493,3290594.8
1696312800000,1696312800000,0.493,0.501,0.485,0.486,8685696.2
1696334400000,1696334400000,0.486,0.49,0.482,0.486,4757282.7
1696356000000,1696356000000,0.486,0.489,0.479,0.487,3827965.9
1696377600000,1696377600000,0.487,0.487,0.467,0.486,8475724.9
1696399200000,1696399200000,0.486,0.489,0.482,0.483,3070210.7
1696420800000,1696420800000,0.483,0.485,0.477,0.479,3207254.0
1696442400000,1696442400000,0.479,0.486,0.476,0.481,3089455.9
1696464000000,1696464000000,0.481,0.482,0.474,0.478,2708117.8
1696485600000,1696485600000,0.478,0.482,0.476,0.477,1913109.5
1696507200000,1696507200000,0.477,0.48,0.465,0.466,7185879.3
1696528800000,1696528800000,0.466,0.472,0.464,0.466,2258565.5
1696550400000,1696550400000,0.466,0.472,0.466,0.471,1546355.0
1696572000000,1696572000000,0.471,0.482,0.471,0.477,2572067.5
1696593600000,1696593600000,0.477,0.48,0.471,0.477,4198748.0
1696615200000,1696615200000,0.477,0.478,0.472,0.472,1368191.4
1696636800000,1696636800000,0.472,0.477,0.471,0.476,1319625.7
1696658400000,1696658400000,0.476,0.479,0.472,0.476,1380097.6
1696680000000,1696680000000,0.476,0.477,0.471,0.471,1472021.4
1696701600000,1696701600000,0.471,0.473,0.467,0.472,1771421.3
1696723200000,1696723200000,0.472,0.474,0.466,0.47,1690905.7
1696744800000,1696744800000,0.47,0.472,0.46,0.466,3159555.9
1696766400000,1696766400000,0.466,0.473,0.465,0.469,1802727.7
1696788000000,1696788000000,0.469,0.474,0.467,0.473,3247246.6
1696809600000,1696809600000,0.473,0.474,0.466,0.466,2613397.4
1696831200000,1696831200000,0.466,0.468,0.441,0.449,12014632.5
1696852800000,1696852800000,0.449,0.455,0.437,0.449,8874165.4
1696874400000,1696874400000,0.449,0.452,0.445,0.448,3730747.8
1696896000000,1696896000000,0.448,0.45,0.443,0.446,3469107.3
1696917600000,1696917600000,0.446,0.45,0.44,0.441,4386564.8
1696939200000,1696939200000,0.441,0.445,0.433,0.434,7370856.9
1696960800000,1696960800000,0.434,0.438,0.43,0.434,3538449.5
1696982400000,1696982400000,0.434,0.435,0.42,0.429,7365820.8
1697004000000,1697004000000,0.429,0.436,0.427,0.433,2466073.3
1697025600000,1697025600000,0.433,0.435,0.427,0.43,4510109.8
1697047200000,1697047200000,0.43,0.435,0.427,0.434,2315902.1
1697068800000,1697068800000,0.434,0.434,0.425,0.43,1787708.0
1697090400000,1697090400000,0.43,0.431,0.419,0.427,3266502.7
1697112000000,1697112000000,0.427,0.427,0.417,0.422,4236520.4
1697133600000,1697133600000,0.422,0.427,0.417,0.423,2351518.1
1697155200000,1697155200000,0.423,0.427,0.423,0.426,3323103.2
1697176800000,1697176800000,0.426,0.438,0.424,0.437,4933503.3
1697198400000,1697198400000,0.437,0.445,0.436,0.445,5487115.4
1697220000000,1697220000000,0.445,0.452,0.438,0.441,6646272.3
1697241600000,1697241600000,0.441,0.445,0.438,0.439,1582172.1
1697263200000,1697263200000,0.439,0.442,0.437,0.44,1976020.3
1697284800000,1697284800000,0.44,0.444,0.438,0.443,1725751.7
1697306400000,1697306400000,0.443,0.443,0.436,0.436,2445182.7
1697328000000,1697328000000,0.436,0.44,0.434,0.44,1833238.1
1697349600000,1697349600000,0.44,0.443,0.439,0.44,2157031.3
1697371200000,1697371200000,0.44,0.442,0.435,0.442,2926815.7
1697392800000,1697392800000,0.442,0.443,0.438,0.44,3184768.2
1697414400000,1697414400000,0.44,0.448,0.436,0.445,4608411.1
1697436000000,1697436000000,0.445,0.448,0.439,0.441,2704721.7
1697457600000,1697457600000,0.441,0.456,0.435,0.439,8284351.4
1697479200000,1697479200000,0.439,0.451,0.439,0.446,3929535.8
1697500800000,1697500800000,0.446,0.451,0.445,0.446,3597439.5
1697522400000,1697522400000,0.446,0.447,0.441,0.443,3421048.6
1697544000000,1697544000000,0.443,0.444,0.427,0.431,8298840.1
1697565600000,1697565600000,0.431,0.436,0.428,0.432,3435203.2
1697587200000,1697587200000,0.432,0.437,0.429,0.434,7033291.5
1697608800000,1697608800000,0.434,0.436,0.431,0.433,2820342.4
1697630400000,1697630400000,0.433,0.435,0.428,0.428,5295818.6
1697652000000,1697652000000,0.428,0.43,0.423,0.423,2734946.6
1697673600000,1697673600000,0.423,0.427,0.413,0.419,6979155.5
1697695200000,1697695200000,0.419,0.423,0.414,0.416,4431880.2
1697716800000,1697716800000,0.416,0.419,0.411,0.413,4341388.3
1697738400000,1697738400000,0.413,0.417,0.41,0.413,1949651.2
1697760000000,1697760000000,0.413,0.422,0.41,0.419,8526915.1
1697781600000,1697781600000,0.419,0.431,0.417,0.422,7495131.7
1697803200000,1697803200000,0.422,0.424,0.415,0.42,7938643.5
1697824800000,1697824800000,0.42,0.423,0.417,0.419,2838401.8
1697846400000,1697846400000,0.419,0.423,0.417,0.422,3274620.9
1697868000000,1697868000000,0.422,0.429,0.422,0.429,5250129.4
1697889600000,1697889600000,0.429,0.442,0.425,0.44,8617139.2
1697911200000,1697911200000,0.44,0.443,0.435,0.438,6257522.3
1697932800000,1697932800000,0.438,0.449,0.436,0.447,4932996.7
1697954400000,1697954400000,0.447,0.449,0.433,0.439,12098853.7
1697976000000,1697976000000,0.439,0.448,0.438,0.447,5924017.6
1697997600000,1697997600000,0.447,0.453,0.442,0.451,5917569.2
1698019200000,1698019200000,0.451,0.458,0.448,0.451,9928724.7
1698040800000,1698040800000,0.451,0.462,0.449,0.455,11257357.8
1698062400000,1698062400000,0.455,0.455,0.447,0.453,7816042.7
1698084000000,1698084000000,0.453,0.474,0.449,0.472,19985121.8
1698105600000,1698105600000,0.472,0.481,0.463,0.464,7298127.5
1698127200000,1698127200000,0.464,0.482,0.459,0.481,7230232.6
1698148800000,1698148800000,0.481,0.49,0.46,0.474,15398827.4
1698170400000,1698170400000,0.474,0.482,0.469,0.478,6834719.8
1698192000000,1698192000000,0.478,0.488,0.473,0.476,6245428.9
1698213600000,1698213600000,0.476,0.482,0.466,0.473,7567969.3
1698235200000,1698235200000,0.473,0.489,0.4719,0.4789,13392004.1
1698256800000,1698256800000,0.4789,0.4814,0.472,0.4785,10836305.5
1698278400000,1698278400000,0.4785,0.4872,0.4758,0.4811,11349817.3
1698300000000,1698300000000,0.4811,0.5,0.4759,0.4807,19949333.4
1698321600000,1698321600000,0.4807,0.4867,0.4569,0.4705,20515068.7
1698343200000,1698343200000,0.4705,0.4796,0.4703,0.4774,6495289.1
1698364800000,1698364800000,0.4774,0.4787,0.4655,0.4688,11357493.1
1698386400000,1698386400000,0.4688,0.4716,0.4594,0.4616,9047499.4
1698408000000,1698408000000,0.4616,0.474,0.456,0.4652,23446030.4
1698429600000,1698429600000,0.4652,0.4686,0.4579,0.4659,9642479.8
1698451200000,1698451200000,0.4659,0.4767,0.4654,0.4733,4968067.0
1698472800000,1698472800000,0.4733,0.48,0.4725,0.474,5445443.3
1698494400000,1698494400000,0.474,0.4838,0.4683,0.4806,5554322.2
1698516000000,1698516000000,0.4806,0.4834,0.4778,0.4808,4882976.1
1698537600000,1698537600000,0.4808,0.4923,0.4742,0.4851,4877103.7
1698559200000,1698559200000,0.4851,0.4892,0.4838,0.4868,4351566.3
1698580800000,1698580800000,0.4868,0.4973,0.4857,0.4941,5874223.4
1698602400000,1698602400000,0.4941,0.4974,0.4898,0.4929,3936819.2
1698624000000,1698624000000,0.4929,0.4981,0.4896,0.491,4048441.6
1698645600000,1698645600000,0.491,0.5068,0.4871,0.5003,7532591.3
1698667200000,1698667200000,0.5003,0.5027,0.483,0.4881,7013078.4
1698688800000,1698688800000,0.4881,0.4901,0.4838,0.4876,3218779.3
