timestamp,time,open,high,low,close,volume
1695880800000,1695880800000,3.998,4.046,3.995,4.037,482921.8
1695902400000,1695902400000,4.037,4.098,4.032,4.079,1059991.8
1695924000000,1695924000000,4.079,4.086,4.048,4.071,419748.4
1695945600000,1695945600000,4.071,4.085,4.055,4.082,299779.7
1695967200000,1695967200000,4.082,4.117,4.072,4.076,708193.3
1695988800000,1695988800000,4.076,4.106,4.051,4.071,1073566.4
1696010400000,1696010400000,4.071,4.082,4.064,4.072,372171.5
1696032000000,1696032000000,4.072,4.086,4.068,4.083,229748.5
1696053600000,1696053600000,4.083,4.093,4.073,4.082,339196.7
1696075200000,1696075200000,4.082,4.11,4.082,4.1,713970.2
1696096800000,1696096800000,4.1,4.118,4.087,4.103,512782.4
1696118400000,1696118400000,4.103,4.146,4.1,4.143,345267.5
1696140000000,1696140000000,4.143,4.21,4.13,4.198,1615261.1
1696161600000,1696161600000,4.198,4.212,4.155,4.16,874430.5
1696183200000,1696183200000,4.16,4.286,4.157,4.259,1356193.0
1696204800000,1696204800000,4.259,4.286,4.235,4.262,1495677.0
1696226400000,1696226400000,4.262,4.298,4.225,4.227,1484871.9
1696248000000,1696248000000,4.227,4.253,4.144,4.183,1774705.1
1696269600000,1696269600000,4.183,4.195,4.032,4.114,2888963.3
1696291200000,1696291200000,4.114,4.158,4.111,4.125,728320.5
1696312800000,1696312800000,4.125,4.146,4.118,4.131,507583.3
1696334400000,1696334400000,4.131,4.136,4.07,4.086,1109696.6
1696356000000,1696356000000,4.086,4.086,4.046,4.072,674388.4
1696377600000,1696377600000,4.072,4.073,3.95,4.034,1771443.3
1696399200000,1696399200000,4.034,4.058,4.017,4.036,688649.3
1696420800000,1696420800000,4.036,4.047,3.985,4.022,1109766.0
1696442400000,1696442400000,4.022,4.056,4.018,4.038,577557.5
1696464000000,1696464000000,4.038,4.052,4.019,4.046,324543.4
1696485600000,1696485600000,4.046,4.078,4.025,4.044,734460.8
1696507200000,1696507200000,4.044,4.069,3.995,4.017,1241500.3
1696528800000,1696528800000,4.017,4.027,4.005,4.018,369751.3
1696550400000,1696550400000,4.018,4.052,4.018,4.038,384025.9
1696572000000,1696572000000,4.038,4.055,4.029,4.033,307286.6
1696593600000,1696593600000,4.033,4.08,3.992,4.077,871923.3
1696615200000,1696615200000,4.077,4.09,4.058,4.065,569606.2
1696636800000,1696636800000,4.065,4.092,4.055,4.088,249680.7
1696658400000,1696658400000,4.088,4.108,4.082,4.085,594906.7
1696680000000,1696680000000,4.085,4.09,4.062,4.063,363645.3
1696701600000,1696701600000,4.063,4.067,4.037,4.047,566185.2
1696723200000,1696723200000,4.047,4.067,4.033,4.039,582476.9
1696744800000,1696744800000,4.039,4.043,3.999,4.011,723933.1
1696766400000,1696766400000,4.011,4.033,4.002,4.02,774886.2
1696788000000,1696788000000,4.02,4.026,3.995,4.009,539382.2
1696809600000,1696809600000,4.009,4.027,3.996,4.007,360528.1
1696831200000,1696831200000,4.007,4.008,3.762,3.842,4447603.4
1696852800000,1696852800000,3.842,3.867,3.746,3.842,2524008.8
1696874400000,1696874400000,3.842,3.875,3.819,3.875,1072652.7
1696896000000,1696896000000,3.875,3.889,3.817,3.842,730972.3
1696917600000,1696917600000,3.842,3.859,3.804,3.808,1203243.4
1696939200000,1696939200000,3.808,3.836,3.793,3.799,1145569.3
1696960800000,1696960800000,3.799,3.823,3.763,3.807,1501466.7
1696982400000,1696982400000,3.807,3.819,3.71,3.757,1504148.7
1697004000000,1697004000000,3.757,3.778,3.731,3.765,813443.5
1697025600000,1697025600000,3.765,3.784,3.699,3.712,1645287.8
1697047200000,1697047200000,3.712,3.738,3.695,3.738,682488.9
1697068800000,1697068800000,3.738,3.738,3.699,3.72,444607.8
1697090400000,1697090400000,3.72,3.728,3.614,3.689,1969570.6
1697112000000,1697112000000,3.689,3.691,3.615,3.652,2002495.9
1697133600000,1697133600000,3.652,3.675,3.648,3.673,662256.8
1697155200000,1697155200000,3.673,3.688,3.669,3.67,384075.2
1697176800000,1697176800000,3.67,3.695,3.664,3.687,571673.3
1697198400000,1697198400000,3.687,3.715,3.671,3.701,691932.2
1697220000000,1697220000000,3.701,3.774,3.694,3.717,1316635.7
1697241600000,1697241600000,3.717,3.741,3.714,3.728,340106.0
1697263200000,1697263200000,3.728,3.732,3.717,3.73,267196.5
1697284800000,1697284800000,3.73,3.758,3.73,3.741,380659.7
1697306400000,1697306400000,3.741,3.748,3.728,3.731,365108.4
1697328000000,1697328000000,3.731,3.745,3.703,3.706,307575.3
1697349600000,1697349600000,3.706,3.772,3.705,3.737,833026.1
1697371200000,1697371200000,3.737,3.757,3.724,3.755,435295.4
1697392800000,1697392800000,3.755,3.774,3.745,3.75,552396.8
1697414400000,1697414400000,3.75,3.819,3.735,3.796,934123.1
1697436000000,1697436000000,3.796,3.807,3.749,3.784,870276.6
1697457600000,1697457600000,3.784,3.895,3.728,3.756,3837100.7
1697479200000,1697479200000,3.756,3.81,3.756,3.775,1001525.0
1697500800000,1697500800000,3.775,3.777,3.723,3.736,736258.7
1697522400000,1697522400000,3.736,3.75,3.717,3.727,807655.8
1697544000000,1697544000000,3.727,3.727,3.625,3.677,2116484.0
1697565600000,1697565600000,3.677,3.677,3.639,3.668,564319.2
1697587200000,1697587200000,3.668,3.706,3.643,3.678,751904.6
1697608800000,1697608800000,3.678,3.724,3.661,3.694,958692.8
1697630400000,1697630400000,3.694,3.699,3.659,3.673,687315.4
1697652000000,1697652000000,3.673,3.673,3.625,3.649,1054478.1
1697673600000,1697673600000,3.649,3.655,3.553,3.609,1809643.0
1697695200000,1697695200000,3.609,3.629,3.601,3.623,679456.1
1697716800000,1697716800000,3.623,3.658,3.605,3.628,1190439.9
1697738400000,1697738400000,3.628,3.658,3.622,3.646,666286.5
1697760000000,1697760000000,3.646,3.722,3.634,3.713,1198439.3
1697781600000,1697781600000,3.713,3.8,3.696,3.754,1729613.5
1697803200000,1697803200000,3.754,3.767,3.67,3.705,1529886.3
1697824800000,1697824800000,3.705,3.727,3.696,3.713,580473.3
1697846400000,1697846400000,3.713,3.739,3.703,3.734,550918.5
1697868000000,1697868000000,3.734,3.814,3.734,3.807,1136136.9
1697889600000,1697889600000,3.807,3.969,3.776,3.957,4000799.5
1697911200000,1697911200000,3.957,3.977,3.89,3.906,1605059.1
1697932800000,1697932800000,3.906,3.949,3.855,3.924,1514567.6
1697954400000,1697954400000,3.924,3.929,3.807,3.829,2537683.6
1697976000000,1697976000000,3.829,3.873,3.803,3.873,1333562.5
1697997600000,1697997600000,3.873,3.969,3.843,3.963,2052411.7
1698019200000,1698019200000,3.963,4.057,3.944,4.015,2921866.5
1698040800000,1698040800000,4.015,4.038,3.913,4.03,3138866.7
1698062400000,1698062400000,4.03,4.173,3.971,4.14,5227403.3
1698084000000,1698084000000,4.14,4.366,4.088,4.356,6343553.6
1698105600000,1698105600000,4.356,4.419,4.285,4.305,3579480.8
1698127200000,1698127200000,4.305,4.324,4.211,4.295,2666393.9
1698148800000,1698148800000,4.295,4.376,4.09,4.168,6205404.6
1698170400000,1698170400000,4.168,4.221,4.123,4.185,1816127.5
1698192000000,1698192000000,4.185,4.276,4.161,4.208,1500916.5
1698213600000,1698213600000,4.208,4.25,4.13,4.195,1979289.4
1698235200000,1698235200000,4.195,4.353,4.195,4.284,3546471.2
1698256800000,1698256800000,4.284,4.33,4.241,4.287,1320386.9
1698278400000,1698278400000,4.287,4.366,4.265,4.271,1131924.7
1698300000000,1698300000000,4.271,4.451,4.245,4.305,4002370.9
1698321600000,1698321600000,4.305,4.356,4.136,4.222,2641012.1
1698343200000,1698343200000,4.222,4.251,4.199,4.233,690860.4
1698364800000,1698364800000,4.233,4.236,4.116,4.162,1159482.8
1698386400000,1698386400000,4.162,4.189,4.102,4.119,1050347.2
1698408000000,1698408000000,4.119,4.184,4.033,4.106,2791731.5
1698429600000,1698429600000,4.106,4.149,4.049,4.134,1085972.5
1698451200000,1698451200000,4.134,4.208,4.13,4.179,683302.8
1698472800000,1698472800000,4.179,4.224,4.168,4.196,932549.1
