timestamp,time,open,high,low,close,volume
1716271200000,1716271200000,0.4159,0.4907,0.4153,0.4777,11542822.0
1716292800000,1716292800000,0.4777,0.4991,0.4503,0.4795,12783043.0
1716314400000,1716314400000,0.4795,0.5573,0.4747,0.555,15618155.0
1716336000000,1716336000000,0.555,0.68,0.5503,0.6739,42381935.0
1716357600000,1716357600000,0.6739,0.69,0.6104,0.6213,33845405.0
1716379200000,1716379200000,0.6213,0.6607,0.6107,0.6345,22994401.0
1716400800000,1716400800000,0.6345,0.6543,0.5978,0.6157,13271430.0
1716422400000,1716422400000,0.6157,0.6267,0.59,0.5948,7848504.0
1716444000000,1716444000000,0.5948,0.608,0.5727,0.588,7385110.0
1716465600000,1716465600000,0.588,0.616,0.5565,0.5869,12127697.0
1716487200000,1716487200000,0.5869,0.6092,0.563,0.58,6136438.0
1716508800000,1716508800000,0.58,0.5844,0.5498,0.5558,3108051.0
1716530400000,1716530400000,0.5558,0.5778,0.5504,0.576,2370545.0
1716552000000,1716552000000,0.576,0.5856,0.5565,0.5692,2666950.0
1716573600000,1716573600000,0.5692,0.5839,0.5674,0.5761,1436811.0
1716595200000,1716595200000,0.5761,0.5854,0.5612,0.5745,2041209.0
1716616800000,1716616800000,0.5745,0.5745,0.5577,0.5644,2430744.0
1716638400000,1716638400000,0.5644,0.5655,0.517,0.5409,4517881.0
1716660000000,1716660000000,0.5409,0.548,0.5038,0.5352,5510940.0
1716681600000,1716681600000,0.5352,0.5402,0.5146,0.5248,2230699.0
1716703200000,1716703200000,0.5248,0.5276,0.5017,0.5071,3231299.0
1716724800000,1716724800000,0.5071,0.5163,0.4944,0.5029,3219185.0
1716746400000,1716746400000,0.5029,0.5035,0.4804,0.4856,3586233.0
1716768000000,1716768000000,0.4856,0.5074,0.4851,0.4894,2330389.0
1716789600000,1716789600000,0.4894,0.5242,0.4857,0.51,3478240.0
1716811200000,1716811200000,0.51,0.5195,0.4912,0.514,3331557.0
1716832800000,1716832800000,0.514,0.515,0.4915,0.4961,2124342.0
1716854400000,1716854400000,0.4961,0.5004,0.4522,0.4682,4345071.0
1716876000000,1716876000000,0.4682,0.469,0.4283,0.4468,9488028.0
1716897600000,1716897600000,0.4468,0.4584,0.4302,0.4458,8522682.0
1716919200000,1716919200000,0.4458,0.46,0.4447,0.4505,3446072.0
1716940800000,1716940800000,0.4505,0.4716,0.4395,0.4538,3887020.0
1716962400000,1716962400000,0.4538,0.4618,0.4179,0.4308,6235386.0
1716984000000,1716984000000,0.4308,0.4369,0.418,0.4324,3614107.0
1717005600000,1717005600000,0.4324,0.4363,0.4205,0.4312,1373583.0
1717027200000,1717027200000,0.4312,0.4496,0.43,0.4361,1920816.0
1717048800000,1717048800000,0.4361,0.4373,0.4134,0.4248,4020015.0
1717070400000,1717070400000,0.4248,0.4608,0.4242,0.4585,3629967.0
1717092000000,1717092000000,0.4585,0.465,0.4324,0.4464,3628975.0
1717113600000,1717113600000,0.4464,0.4626,0.4408,0.4486,1689084.0
1717135200000,1717135200000,0.4486,0.4988,0.4408,0.4856,3917886.0
1717156800000,1717156800000,0.4856,0.495,0.4348,0.457,6618621.0
1717178400000,1717178400000,0.457,0.4637,0.445,0.4547,1896272.0
1717200000000,1717200000000,0.4547,0.4626,0.4496,0.4521,925796.0
1717221600000,1717221600000,0.4521,0.4618,0.445,0.4469,1105990.0
1717243200000,1717243200000,0.4469,0.4607,0.4369,0.4421,1692499.0
1717264800000,1717264800000,0.4421,0.4447,0.4251,0.4326,2998534.0
1717286400000,1717286400000,0.4326,0.446,0.42,0.4446,2388498.0
1717308000000,1717308000000,0.4446,0.4815,0.4446,0.474,3972579.0
1717329600000,1717329600000,0.474,0.481,0.4459,0.4473,2465174.0
1717351200000,1717351200000,0.4473,0.4659,0.4411,0.4573,1165461.0
1717372800000,1717372800000,0.4573,0.4573,0.4332,0.4427,2502983.0
1717394400000,1717394400000,0.4427,0.4583,0.4393,0.441,1001934.0
1717416000000,1717416000000,0.441,0.48,0.4398,0.4683,2467580.0
1717437600000,1717437600000,0.4683,0.4997,0.4675,0.4897,3234295.0
1717459200000,1717459200000,0.4897,0.5192,0.4763,0.5031,3905218.0
1717480800000,1717480800000,0.5031,0.5391,0.4912,0.513,8086272.0
1717502400000,1717502400000,0.513,0.5401,0.5046,0.5288,4342923.0
1717524000000,1717524000000,0.5288,0.5827,0.5281,0.5637,6466324.0
1717545600000,1717545600000,0.5637,0.588,0.5298,0.5356,4772482.0
1717567200000,1717567200000,0.5356,0.5495,0.5152,0.5182,2802346.0
1717588800000,1717588800000,0.5182,0.5575,0.5116,0.554,2443526.0
1717610400000,1717610400000,0.554,0.559,0.5162,0.5423,2217356.0
1717632000000,1717632000000,0.5423,0.5559,0.5195,0.525,1127561.0
1717653600000,1717653600000,0.525,0.5356,0.5129,0.5237,1221964.0
1717675200000,1717675200000,0.5237,0.5542,0.5227,0.5434,2617171.0
1717696800000,1717696800000,0.5434,0.55,0.5044,0.5186,2355833.0
1717718400000,1717718400000,0.5186,0.5377,0.5109,0.5237,1216470.0
1717740000000,1717740000000,0.5237,0.526,0.5044,0.5107,1205103.0
1717761600000,1717761600000,0.5107,0.5156,0.4599,0.4752,4362221.0
1717783200000,1717783200000,0.4752,0.4919,0.326,0.4718,9099321.0
1717804800000,1717804800000,0.4718,0.5072,0.47,0.4954,1297023.0
1717826400000,1717826400000,0.4954,0.5073,0.4721,0.4763,1019383.0
1717848000000,1717848000000,0.4763,0.4833,0.4669,0.4756,1116961.0
1717869600000,1717869600000,0.4756,0.4829,0.4708,0.473,841837.0
1717891200000,1717891200000,0.473,0.4765,0.4617,0.4702,733374.0
1717912800000,1717912800000,0.4702,0.4846,0.4689,0.4718,433403.0
1717934400000,1717934400000,0.4718,0.5159,0.4703,0.5112,1596332.0
1717956000000,1717956000000,0.5112,0.5184,0.5062,0.5146,576841.0
1717977600000,1717977600000,0.5146,0.5159,0.5026,0.5067,420038.0
1717999200000,1717999200000,0.5067,0.5242,0.4968,0.5168,1456131.0
1718020800000,1718020800000,0.5168,0.5203,0.4995,0.5125,1689616.0
1718042400000,1718042400000,0.5125,0.5129,0.4725,0.4747,1281499.0
1718064000000,1718064000000,0.4747,0.4843,0.4514,0.4561,1638639.0
1718085600000,1718085600000,0.4561,0.4657,0.4391,0.4613,1545976.0
1718107200000,1718107200000,0.4613,0.4649,0.4356,0.4448,1650186.0
