timestamp,time,open,high,low,close,volume
1759212000000,1759212000000,0.6171,0.664,0.6171,0.648,156923.0
1759233600000,1759233600000,0.648,0.6694,0.3738,0.3896,85032425.0
1759255200000,1759255200000,0.3896,0.448,0.3609,0.398,50182503.0
1759276800000,1759276800000,0.398,0.4916,0.3863,0.404,40997280.0
1759298400000,1759298400000,0.404,0.4486,0.3736,0.4115,32788898.0
1759320000000,1759320000000,0.4115,0.4166,0.3592,0.3856,32250181.0
1759341600000,1759341600000,0.3856,0.4089,0.3571,0.387,19468744.0
1759363200000,1759363200000,0.387,0.4197,0.3792,0.3836,18785537.0
1759384800000,1759384800000,0.3836,0.435,0.3756,0.4176,24627033.0
1759406400000,1759406400000,0.4176,0.4176,0.3502,0.3645,22923950.0
1759428000000,1759428000000,0.3645,0.3894,0.3474,0.3799,11563879.0
1759449600000,1759449600000,0.3799,0.3844,0.355,0.3656,6655717.0
1759471200000,1759471200000,0.3656,0.3736,0.323,0.3429,12719625.0
1759492800000,1759492800000,0.3429,0.3499,0.326,0.3452,11323037.0
1759514400000,1759514400000,0.3452,0.3647,0.3433,0.3617,6632838.0
1759536000000,1759536000000,0.3617,0.3656,0.3404,0.3525,6489941.0
1759557600000,1759557600000,0.3525,0.3804,0.3448,0.3566,8969109.0
1759579200000,1759579200000,0.3566,0.3733,0.3348,0.3386,8621468.0
1759600800000,1759600800000,0.3386,0.3533,0.3334,0.3508,3042217.0
1759622400000,1759622400000,0.3508,0.4003,0.3476,0.3722,12981492.0
1759644000000,1759644000000,0.3722,0.433,0.3675,0.4002,22573733.0
1759665600000,1759665600000,0.4002,0.4328,0.3763,0.3796,22174807.0
1759687200000,1759687200000,0.3796,0.3833,0.367,0.3744,6165758.0
1759708800000,1759708800000,0.3744,0.3788,0.344,0.3491,8259012.0
1759730400000,1759730400000,0.3491,0.3596,0.3127,0.3239,16526427.0
1759752000000,1759752000000,0.3239,0.3535,0.3218,0.3494,11996408.0
1759773600000,1759773600000,0.3494,0.3583,0.3469,0.3523,5254760.0
1759795200000,1759795200000,0.3523,0.367,0.3272,0.3473,10510684.0
1759816800000,1759816800000,0.3473,0.3582,0.3431,0.3478,7154800.0
1759838400000,1759838400000,0.3478,0.3499,0.3237,0.3331,10184468.0
1759860000000,1759860000000,0.3331,0.337,0.3255,0.33,3694248.0
1759881600000,1759881600000,0.33,0.3304,0.3124,0.3138,7071192.0
1759903200000,1759903200000,0.3138,0.3142,0.2952,0.2975,9764235.0
1759924800000,1759924800000,0.2975,0.3059,0.2914,0.3032,7318488.0
1759946400000,1759946400000,0.3032,0.3081,0.2982,0.3003,4009769.0
1759968000000,1759968000000,0.3003,0.3011,0.264,0.2763,14626091.0
1759989600000,1759989600000,0.2763,0.2768,0.2311,0.2335,22342304.0
1760011200000,1760011200000,0.2335,0.2515,0.2261,0.2483,14306697.0
1760032800000,1760032800000,0.2483,0.2496,0.2388,0.2396,3969594.0
1760054400000,1760054400000,0.2396,0.2417,0.2311,0.2349,7536583.0
1760076000000,1760076000000,0.2349,0.2432,0.2304,0.2418,7608770.0
1760097600000,1760097600000,0.2418,0.2468,0.2322,0.242,13636220.0
1760119200000,1760119200000,0.242,0.2452,0.0591,0.1482,52883842.0
1760140800000,1760140800000,0.1482,0.153,0.1291,0.1441,20059036.0
1760162400000,1760162400000,0.1441,0.1512,0.1406,0.1497,9754852.0
1760184000000,1760184000000,0.1497,0.1547,0.1466,0.1518,9657629.0
1760205600000,1760205600000,0.1518,0.1644,0.1437,0.1637,12107415.0
1760227200000,1760227200000,0.1637,0.1918,0.1562,0.1722,36557200.0
1760248800000,1760248800000,0.1722,0.1742,0.1602,0.1701,13334720.0
1760270400000,1760270400000,0.1701,0.1716,0.1503,0.1655,16236934.0
1760292000000,1760292000000,0.1655,0.1725,0.1643,0.1658,7104063.0
1760313600000,1760313600000,0.1658,0.1896,0.1613,0.1796,9881990.0
1760335200000,1760335200000,0.1796,0.1892,0.1712,0.1719,10281156.0
1760356800000,1760356800000,0.1719,0.1824,0.1689,0.1778,8876210.0
1760378400000,1760378400000,0.1778,0.1843,0.1741,0.1821,4020254.0
1760400000000,1760400000000,0.1821,0.1821,0.1576,0.1592,11639004.0
1760421600000,1760421600000,0.1592,0.1648,0.1481,0.1562,38519166.0
1760443200000,1760443200000,0.1562,0.1664,0.1554,0.1636,9840297.0
1760464800000,1760464800000,0.1636,0.1699,0.1627,0.1684,3550140.0
1760486400000,1760486400000,0.1684,0.1759,0.1672,0.1706,4319189.0
1760508000000,1760508000000,0.1706,0.1706,0.1569,0.1586,6892055.0
1760529600000,1760529600000,0.1586,0.1649,0.1563,0.1608,5370257.0
1760551200000,1760551200000,0.1608,0.1609,0.1539,0.1568,2906851.0
1760572800000,1760572800000,0.1568,0.1606,0.1543,0.1569,2838890.0
1760594400000,1760594400000,0.1569,0.1665,0.1522,0.1657,5945401.0
1760616000000,1760616000000,0.1657,0.1867,0.1584,0.1602,15310150.0
1760637600000,1760637600000,0.1602,0.1662,0.1555,0.1659,4518184.0
1760659200000,1760659200000,0.1659,0.1803,0.1643,0.1754,9230578.0
1760680800000,1760680800000,0.1754,0.1798,0.1413,0.148,21361392.0
1760702400000,1760702400000,0.148,0.156,0.1442,0.1472,7687240.0
1760724000000,1760724000000,0.1472,0.1483,0.1443,0.1463,2744578.0
