timestamp,time,open,high,low,close,volume
1752645600000,1752645600000,0.3094,0.3881,0.2913,0.3833,32565295.0
1752667200000,1752667200000,0.3833,0.399,0.3127,0.3239,51227748.0
1752688800000,1752688800000,0.3239,0.341,0.294,0.3065,17723892.0
1752710400000,1752710400000,0.3065,0.3277,0.299,0.3178,12674270.0
1752732000000,1752732000000,0.3178,0.3499,0.3106,0.3373,22387649.0
1752753600000,1752753600000,0.3373,0.3412,0.29,0.2982,17087565.0
1752775200000,1752775200000,0.2982,0.2994,0.287,0.2952,7679566.0
1752796800000,1752796800000,0.2952,0.3016,0.2827,0.2926,8043556.0
1752818400000,1752818400000,0.2926,0.3055,0.2869,0.293,11004231.0
1752840000000,1752840000000,0.293,0.2995,0.2585,0.268,14936256.0
1752861600000,1752861600000,0.268,0.2743,0.2494,0.262,7589531.0
1752883200000,1752883200000,0.262,0.2659,0.25,0.2596,7502227.0
1752904800000,1752904800000,0.2596,0.2596,0.251,0.2535,5174717.0
1752926400000,1752926400000,0.2535,0.2621,0.2428,0.2531,8766785.0
1752948000000,1752948000000,0.2531,0.2602,0.2506,0.259,2645145.0
1752969600000,1752969600000,0.259,0.2619,0.251,0.2567,2933819.0
1752991200000,1752991200000,0.2567,0.2646,0.2543,0.2587,4883298.0
1753012800000,1753012800000,0.2587,0.2623,0.2345,0.25,11463620.0
1753034400000,1753034400000,0.25,0.2525,0.2441,0.2474,3820161.0
1753056000000,1753056000000,0.2474,0.2527,0.2456,0.2492,2620208.0
1753077600000,1753077600000,0.2492,0.254,0.2477,0.252,3907382.0
1753099200000,1753099200000,0.252,0.2536,0.2378,0.2434,6450175.0
1753120800000,1753120800000,0.2434,0.2445,0.2401,0.2427,2542133.0
1753142400000,1753142400000,0.2427,0.2445,0.231,0.2332,6127629.0
1753164000000,1753164000000,0.2332,0.2368,0.2318,0.2351,3856676.0
1753185600000,1753185600000,0.2351,0.2382,0.2271,0.2333,4522753.0
1753207200000,1753207200000,0.2333,0.24,0.2301,0.2373,3322332.0
1753228800000,1753228800000,0.2373,0.25,0.235,0.243,3785954.0
1753250400000,1753250400000,0.243,0.2454,0.2344,0.2383,4887622.0
1753272000000,1753272000000,0.2383,0.2467,0.2321,0.2368,6566390.0
1753293600000,1753293600000,0.2368,0.2517,0.2324,0.239,9166819.0
1753315200000,1753315200000,0.239,0.2461,0.2285,0.2304,6005569.0
1753336800000,1753336800000,0.2304,0.24,0.2202,0.2386,6816703.0
1753358400000,1753358400000,0.2386,0.2388,0.2198,0.2328,9840784.0
1753380000000,1753380000000,0.2328,0.2364,0.2288,0.2292,5030195.0
1753401600000,1753401600000,0.2292,0.2313,0.221,0.2246,3776817.0
1753423200000,1753423200000,0.2246,0.2334,0.2232,0.2317,3376675.0
1753444800000,1753444800000,0.2317,0.2323,0.2225,0.2245,3207392.0
1753466400000,1753466400000,0.2245,0.2324,0.2214,0.2314,6722982.0
1753488000000,1753488000000,0.2314,0.2315,0.2284,0.2301,1943275.0
1753509600000,1753509600000,0.2301,0.2341,0.2274,0.2319,6279222.0
1753531200000,1753531200000,0.2319,0.2356,0.2295,0.2304,6327384.0
1753552800000,1753552800000,0.2304,0.233,0.2293,0.2308,3251399.0
1753574400000,1753574400000,0.2308,0.2345,0.2302,0.2336,1691763.0
1753596000000,1753596000000,0.2336,0.2384,0.2317,0.236,4101841.0
