timestamp,time,open,high,low,close,volume
1706702400000,1706702400000,0.6845,0.7249,0.663,0.684,10713875.0
1706724000000,1706724000000,0.684,0.6976,0.6194,0.6632,95614706.0
1706745600000,1706745600000,0.6632,0.6849,0.56,0.5771,92248753.0
1706767200000,1706767200000,0.5771,0.6294,0.5519,0.6035,82116922.0
1706788800000,1706788800000,0.6035,0.6228,0.5643,0.5873,71734597.0
1706810400000,1706810400000,0.5873,0.607,0.5707,0.6041,43554608.0
1706832000000,1706832000000,0.6041,0.6172,0.5768,0.594,34433633.0
1706853600000,1706853600000,0.594,0.64,0.5832,0.6226,56991308.0
1706875200000,1706875200000,0.6226,0.6497,0.6011,0.6165,67362241.0
1706896800000,1706896800000,0.6165,0.6247,0.604,0.6181,30612979.0
1706918400000,1706918400000,0.6181,0.6224,0.5708,0.5849,44890091.0
1706940000000,1706940000000,0.5849,0.5896,0.571,0.5766,24407577.0
1706961600000,1706961600000,0.5766,0.582,0.5604,0.5786,33767057.0
1706983200000,1706983200000,0.5786,0.5798,0.564,0.5656,13554780.0
1707004800000,1707004800000,0.5656,0.574,0.5522,0.5583,19022679.0
1707026400000,1707026400000,0.5583,0.5633,0.5317,0.5543,39416553.0
1707048000000,1707048000000,0.5543,0.5697,0.5521,0.5564,24777941.0
1707069600000,1707069600000,0.5564,0.5588,0.522,0.5305,31794192.0
1707091200000,1707091200000,0.5305,0.5423,0.5196,0.5383,20994480.0
1707112800000,1707112800000,0.5383,0.569,0.5341,0.5658,32786758.0
1707134400000,1707134400000,0.5658,0.5724,0.5377,0.5452,35481536.0
1707156000000,1707156000000,0.5452,0.5466,0.5239,0.5417,24034254.0
1707177600000,1707177600000,0.5417,0.5434,0.5251,0.5305,16036870.0
1707199200000,1707199200000,0.5305,0.539,0.51,0.519,30576914.0
1707220800000,1707220800000,0.519,0.5277,0.505,0.5159,34933413.0
1707242400000,1707242400000,0.5159,0.542,0.5131,0.5325,24098768.0
1707264000000,1707264000000,0.5325,0.5438,0.512,0.521,21877884.0
1707285600000,1707285600000,0.521,0.5563,0.5123,0.554,27747966.0
1707307200000,1707307200000,0.554,0.6061,0.5458,0.5721,126555566.0
1707328800000,1707328800000,0.5721,0.5843,0.5503,0.5551,52162371.0
1707350400000,1707350400000,0.5551,0.5637,0.5418,0.5492,27720088.0
1707372000000,1707372000000,0.5492,0.5557,0.5305,0.5425,37826710.0
1707393600000,1707393600000,0.5425,0.5459,0.5204,0.5317,54095022.0
1707415200000,1707415200000,0.5317,0.5347,0.5,0.5103,36651600.0
1707436800000,1707436800000,0.5103,0.512,0.4864,0.5061,48520970.0
1707458400000,1707458400000,0.5061,0.5082,0.4895,0.5075,36830151.0
1707480000000,1707480000000,0.5075,0.519,0.4923,0.5041,52607953.0
1707501600000,1707501600000,0.5041,0.5287,0.495,0.5103,35277219.0
1707523200000,1707523200000,0.5103,0.5278,0.5102,0.5198,20236412.0
1707544800000,1707544800000,0.5198,0.5212,0.4956,0.5066,25326410.0
1707566400000,1707566400000,0.5066,0.5167,0.5031,0.5084,15386519.0
1707588000000,1707588000000,0.5084,0.5161,0.5009,0.505,13872790.0
1707609600000,1707609600000,0.505,0.5129,0.5015,0.5127,9820071.0
