timestamp,time,open,high,low,close,volume
1704261600000,1704261600000,1.625,1.755,1.528,1.683,434727.5
1704283200000,1704283200000,1.683,1.702,1.391,1.524,1149833.3
1704304800000,1704304800000,1.524,1.566,1.389,1.456,389541.9
1704326400000,1704326400000,1.456,1.456,1.299,1.377,883902.3
1704348000000,1704348000000,1.377,1.386,1.29,1.31,597969.1
1704369600000,1704369600000,1.31,1.395,1.283,1.35,1015704.2
1704391200000,1704391200000,1.35,1.389,1.342,1.355,392054.6
1704412800000,1704412800000,1.355,1.369,1.245,1.283,929884.5
1704434400000,1704434400000,1.283,1.334,1.242,1.253,628361.2
1704456000000,1704456000000,1.253,1.281,1.209,1.254,418836.6
1704477600000,1704477600000,1.254,1.284,1.245,1.264,162767.2
1704499200000,1704499200000,1.264,1.45,1.263,1.31,2073532.0
1704520800000,1704520800000,1.31,1.363,1.298,1.343,980817.7
1704542400000,1704542400000,1.343,1.401,1.275,1.313,1303192.5
1704564000000,1704564000000,1.313,1.35,1.3,1.348,385489.2
1704585600000,1704585600000,1.348,1.353,1.244,1.276,634401.8
1704607200000,1704607200000,1.276,1.303,1.224,1.228,551030.1
1704628800000,1704628800000,1.228,1.241,1.182,1.202,766746.2
1704650400000,1704650400000,1.202,1.22,1.134,1.151,515057.9
1704672000000,1704672000000,1.151,1.154,1.014,1.065,1609699.3
1704693600000,1704693600000,1.065,1.114,1.062,1.109,556285.8
1704715200000,1704715200000,1.109,1.137,1.102,1.135,481493.6
1704736800000,1704736800000,1.135,1.204,1.134,1.19,472570.3
1704758400000,1704758400000,1.19,1.192,1.132,1.137,441596.1
1704780000000,1704780000000,1.137,1.15,1.11,1.128,241311.7
1704801600000,1704801600000,1.128,1.136,1.071,1.079,747910.0
1704823200000,1704823200000,1.079,1.113,1.078,1.111,351277.3
1704844800000,1704844800000,1.111,1.119,1.096,1.107,183515.5
1704866400000,1704866400000,1.107,1.111,1.068,1.098,242453.9
1704888000000,1704888000000,1.098,1.12,1.052,1.115,368152.5
1704909600000,1704909600000,1.115,1.172,1.089,1.159,437371.8
1704931200000,1704931200000,1.159,1.169,1.134,1.138,273784.2
1704952800000,1704952800000,1.138,1.176,1.119,1.174,307436.0
1704974400000,1704974400000,1.174,1.207,1.104,1.159,577484.5
1704996000000,1704996000000,1.159,1.175,1.147,1.172,122331.8
1705017600000,1705017600000,1.172,1.174,1.149,1.169,84059.7
1705039200000,1705039200000,1.169,1.182,1.149,1.163,153397.1
1705060800000,1705060800000,1.163,1.166,1.1,1.124,383420.1
1705082400000,1705082400000,1.124,1.133,1.076,1.101,314457.3
1705104000000,1705104000000,1.101,1.136,1.089,1.122,232944.8
1705125600000,1705125600000,1.122,1.157,1.119,1.127,174888.7
1705147200000,1705147200000,1.127,1.144,1.12,1.132,80538.9
1705168800000,1705168800000,1.132,1.143,1.13,1.131,55473.3
1705190400000,1705190400000,1.131,1.135,1.115,1.125,127913.0
1705212000000,1705212000000,1.125,1.131,1.119,1.12,154961.6
1705233600000,1705233600000,1.12,1.141,1.119,1.131,190704.9
1705255200000,1705255200000,1.131,1.134,1.092,1.101,273437.8
1705276800000,1705276800000,1.101,1.126,1.096,1.118,230975.0
1705298400000,1705298400000,1.118,1.119,1.104,1.116,232681.3
1705320000000,1705320000000,1.116,1.119,1.093,1.113,219459.7
1705341600000,1705341600000,1.113,1.123,1.098,1.11,249633.2
1705363200000,1705363200000,1.11,1.115,1.099,1.11,95071.3
1705384800000,1705384800000,1.11,1.131,1.102,1.122,331118.8
1705406400000,1705406400000,1.122,1.128,1.092,1.119,491812.0
1705428000000,1705428000000,1.119,1.132,1.114,1.123,159317.4
1705449600000,1705449600000,1.123,1.125,1.106,1.108,172165.0
1705471200000,1705471200000,1.108,1.112,1.09,1.102,240785.2
1705492800000,1705492800000,1.102,1.11,1.092,1.101,203471.6
1705514400000,1705514400000,1.101,1.108,1.094,1.102,145528.1
1705536000000,1705536000000,1.102,1.135,1.096,1.119,263261.2
1705557600000,1705557600000,1.119,1.125,1.101,1.104,236522.2
1705579200000,1705579200000,1.104,1.107,1.053,1.061,545302.6
1705600800000,1705600800000,1.061,1.062,1.04,1.052,241524.8
1705622400000,1705622400000,1.052,1.059,1.024,1.038,239344.3
1705644000000,1705644000000,1.038,1.05,1.032,1.045,126500.9
1705665600000,1705665600000,1.045,1.048,1.003,1.034,237962.6
1705687200000,1705687200000,1.034,1.058,1.029,1.046,112136.2
1705708800000,1705708800000,1.046,1.057,1.038,1.048,88138.7
1705730400000,1705730400000,1.048,1.052,1.035,1.04,78752.3
1705752000000,1705752000000,1.04,1.049,1.035,1.047,83710.8
1705773600000,1705773600000,1.047,1.063,1.045,1.06,77648.2
1705795200000,1705795200000,1.06,1.066,1.055,1.062,69070.5
1705816800000,1705816800000,1.062,1.07,1.057,1.063,80653.6
1705838400000,1705838400000,1.063,1.074,1.051,1.061,108156.3
1705860000000,1705860000000,1.061,1.064,1.045,1.049,45888.9
1705881600000,1705881600000,1.049,1.051,1.016,1.023,165838.3
1705903200000,1705903200000,1.023,1.032,1.007,1.02,113129.3
1705924800000,1705924800000,1.02,1.031,1.006,1.018,145876.7
1705946400000,1705946400000,1.018,1.022,0.988,0.998,257313.0
1705968000000,1705968000000,0.998,1.01,0.985,1.003,105751.4
1705989600000,1705989600000,1.003,1.005,0.934,0.94,296228.4
1706011200000,1706011200000,0.94,0.965,0.93,0.959,233823.4
1706032800000,1706032800000,0.959,0.975,0.941,0.972,108325.6
1706054400000,1706054400000,0.972,0.998,0.958,0.977,221044.4
1706076000000,1706076000000,0.977,1.026,0.97,1.012,636726.4
1706097600000,1706097600000,1.012,1.36,1.011,1.183,29319554.0
1706119200000,1706119200000,1.183,1.3,1.161,1.288,8724351.1
1706140800000,1706140800000,1.288,1.377,1.17,1.225,13703505.7
1706162400000,1706162400000,1.225,1.403,1.212,1.305,16111924.4
1706184000000,1706184000000,1.305,1.34,1.163,1.177,12307092.9
1706205600000,1706205600000,1.177,1.314,1.171,1.275,4504074.6
1706227200000,1706227200000,1.275,1.355,1.217,1.253,7635877.7
1706248800000,1706248800000,1.253,1.267,1.213,1.238,3075739.6
1706270400000,1706270400000,1.238,1.245,1.214,1.227,2168951.2
1706292000000,1706292000000,1.227,1.251,1.186,1.246,2032451.7
1706313600000,1706313600000,1.246,1.246,1.196,1.202,1659907.5
1706335200000,1706335200000,1.202,1.208,1.173,1.198,981377.2
1706356800000,1706356800000,1.198,1.221,1.183,1.204,718013.3
1706378400000,1706378400000,1.204,1.221,1.189,1.218,445652.5
1706400000000,1706400000000,1.218,1.222,1.193,1.207,823012.2
1706421600000,1706421600000,1.207,1.236,1.195,1.235,554643.0
1706443200000,1706443200000,1.235,1.441,1.232,1.366,18220078.7
1706464800000,1706464800000,1.366,1.432,1.341,1.412,7818475.8
1706486400000,1706486400000,1.412,1.466,1.35,1.367,11507376.4
1706508000000,1706508000000,1.367,1.481,1.331,1.439,13232992.7
1706529600000,1706529600000,1.439,1.532,1.423,1.492,11529795.4
1706551200000,1706551200000,1.492,1.499,1.458,1.463,2384355.6
1706572800000,1706572800000,1.463,1.478,1.417,1.425,3970345.1
1706594400000,1706594400000,1.425,1.515,1.421,1.463,5852162.2
1706616000000,1706616000000,1.463,1.47,1.416,1.432,2357850.2
1706637600000,1706637600000,1.432,1.456,1.387,1.403,1712114.8
1706659200000,1706659200000,1.403,1.488,1.352,1.37,5752888.6
1706680800000,1706680800000,1.37,1.377,1.328,1.35,1639725.2
1706702400000,1706702400000,1.35,1.362,1.313,1.357,1629736.7
1706724000000,1706724000000,1.357,1.367,1.322,1.358,1311922.6
1706745600000,1706745600000,1.358,1.39,1.281,1.301,2347585.7
1706767200000,1706767200000,1.301,1.329,1.298,1.306,587991.5
1706788800000,1706788800000,1.306,1.333,1.285,1.326,687924.0
1706810400000,1706810400000,1.326,1.35,1.317,1.345,498956.1
1706832000000,1706832000000,1.345,1.377,1.314,1.354,1111940.5
1706853600000,1706853600000,1.354,1.402,1.344,1.368,1344793.6
1706875200000,1706875200000,1.368,1.399,1.343,1.367,1239785.0
1706896800000,1706896800000,1.367,1.395,1.36,1.385,499464.5
1706918400000,1706918400000,1.385,1.398,1.349,1.363,814979.0
1706940000000,1706940000000,1.363,1.376,1.322,1.328,811521.8
