timestamp,time,open,high,low,close,volume
1695880800000,1695880800000,0.2952,0.2986,0.293,0.2951,12554755.3
1695902400000,1695902400000,0.2951,0.2998,0.2941,0.2984,2501824.6
1695924000000,1695924000000,0.2984,0.2991,0.2951,0.2989,1394717.0
1695945600000,1695945600000,0.2989,0.3009,0.2979,0.2996,1825581.2
1695967200000,1695967200000,0.2996,0.3034,0.2987,0.3014,2751550.7
1695988800000,1695988800000,0.3014,0.3086,0.2982,0.3046,7772479.3
1696010400000,1696010400000,0.3046,0.3248,0.3036,0.3155,13476837.9
1696032000000,1696032000000,0.3155,0.3159,0.3072,0.3083,6390285.7
1696053600000,1696053600000,0.3083,0.3102,0.3058,0.3076,5230344.3
1696075200000,1696075200000,0.3076,0.313,0.3074,0.3102,4967252.0
1696096800000,1696096800000,0.3102,0.3114,0.3081,0.3087,2098556.9
1696118400000,1696118400000,0.3087,0.3135,0.3074,0.3134,1880730.1
1696140000000,1696140000000,0.3134,0.3193,0.3121,0.317,4065001.3
1696161600000,1696161600000,0.317,0.3188,0.3138,0.3146,3269765.6
1696183200000,1696183200000,0.3146,0.3278,0.3143,0.3235,5312101.2
1696204800000,1696204800000,0.3235,0.3263,0.3192,0.3212,2515296.6
1696226400000,1696226400000,0.3212,0.3243,0.3189,0.3191,2627730.5
1696248000000,1696248000000,0.3191,0.321,0.3114,0.3167,8158988.2
1696269600000,1696269600000,0.3167,0.3186,0.3038,0.3108,11367787.9
1696291200000,1696291200000,0.3108,0.313,0.3086,0.3095,1737618.7
1696312800000,1696312800000,0.3095,0.3116,0.3068,0.3085,2773966.4
1696334400000,1696334400000,0.3085,0.3086,0.3032,0.3059,2763662.8
1696356000000,1696356000000,0.3059,0.3061,0.301,0.3017,2884334.9
1696377600000,1696377600000,0.3017,0.3017,0.2871,0.2957,8255606.9
1696399200000,1696399200000,0.2957,0.2995,0.2949,0.2966,2149409.8
1696420800000,1696420800000,0.2966,0.2977,0.2924,0.2945,2420652.2
1696442400000,1696442400000,0.2945,0.2983,0.2934,0.2972,1095510.0
1696464000000,1696464000000,0.2972,0.2984,0.2942,0.2968,1077123.3
1696485600000,1696485600000,0.2968,0.2995,0.2956,0.2986,2560937.8
1696507200000,1696507200000,0.2986,0.2998,0.29,0.2936,5392092.4
1696528800000,1696528800000,0.2936,0.2944,0.2919,0.2926,1005133.0
1696550400000,1696550400000,0.2926,0.2958,0.2926,0.2947,662380.9
1696572000000,1696572000000,0.2947,0.2972,0.2944,0.2961,1556765.0
1696593600000,1696593600000,0.2961,0.3009,0.2932,0.3001,3856981.7
1696615200000,1696615200000,0.3001,0.3014,0.2992,0.3003,1252759.9
1696636800000,1696636800000,0.3003,0.3018,0.2985,0.3004,1069371.1
1696658400000,1696658400000,0.3004,0.3007,0.2981,0.2988,1004238.9
1696680000000,1696680000000,0.2988,0.3006,0.2984,0.299,1290447.9
1696701600000,1696701600000,0.299,0.2995,0.2969,0.2987,640665.1
1696723200000,1696723200000,0.2987,0.2994,0.2949,0.2969,930712.0
1696744800000,1696744800000,0.2969,0.2984,0.2937,0.295,1513729.9
1696766400000,1696766400000,0.295,0.2978,0.294,0.2967,1945878.3
1696788000000,1696788000000,0.2967,0.2986,0.2957,0.2968,1136330.8
1696809600000,1696809600000,0.2968,0.2983,0.2947,0.2959,1942923.3
1696831200000,1696831200000,0.2959,0.2979,0.2721,0.2827,12065338.2
1696852800000,1696852800000,0.2827,0.2837,0.274,0.2801,6215252.5
1696874400000,1696874400000,0.2801,0.2822,0.2793,0.281,1633664.1
1696896000000,1696896000000,0.281,0.2819,0.279,0.2804,844871.3
1696917600000,1696917600000,0.2804,0.282,0.2778,0.278,1587535.8
1696939200000,1696939200000,0.278,0.2808,0.276,0.2768,2102321.6
1696960800000,1696960800000,0.2768,0.2791,0.2745,0.2776,1412197.6
1696982400000,1696982400000,0.2776,0.2796,0.271,0.2751,3318149.7
