timestamp,time,open,high,low,close,volume
1732600800000,1732600800000,3.08,3.139,2.322,2.528,183571.0
1732622400000,1732622400000,2.528,2.7899,2.39,2.5467,102440.0
1732644000000,1732644000000,2.5467,2.729,2.4451,2.6605,65856.0
1732665600000,1732665600000,2.6605,2.761,2.5003,2.7,21620.0
1732687200000,1732687200000,2.7,2.98,2.6169,2.88,58906.0
1732708800000,1732708800000,2.88,2.918,2.36,2.71,46677.0
1732730400000,1732730400000,2.71,2.81,2.6061,2.7732,13621.0
1732752000000,1732752000000,2.7732,2.889,2.6602,2.8299,7505.0
1732773600000,1732773600000,2.8299,2.889,2.66,2.8301,11814.0
1732795200000,1732795200000,2.8301,2.891,2.66,2.6915,14504.0
1732816800000,1732816800000,2.6915,2.86,2.6915,2.7633,12349.0
1732838400000,1732838400000,2.7633,3.35,2.5,2.9093,91416.0
1732860000000,1732860000000,2.9093,3.0498,2.73,2.9312,19541.0
1732881600000,1732881600000,2.9312,3.106,2.8116,3.0729,17571.0
1732903200000,1732903200000,3.0729,3.13,2.95,3.0783,7845.0
1732924800000,1732924800000,3.0783,3.13,2.9526,3.0523,5199.0
1732946400000,1732946400000,3.0523,3.1201,2.95,2.956,9450.0
1732968000000,1732968000000,2.956,3.13,2.95,3.0358,8846.0
1732989600000,1732989600000,3.0358,3.1499,3.0132,3.1248,8446.0
1733011200000,1733011200000,3.1248,3.2475,3.034,3.2475,8553.0
1733032800000,1733032800000,3.2475,3.3913,3.1,3.3327,15562.0
1733054400000,1733054400000,3.3327,3.7919,3.271,3.6975,42998.0
1733076000000,1733076000000,3.6975,3.785,3.5361,3.5361,25560.0
1733097600000,1733097600000,3.5361,3.8999,3.5312,3.8901,17796.0
1733119200000,1733119200000,3.8901,3.8999,3.5501,3.6871,30509.0
1733140800000,1733140800000,3.6871,3.7907,3.29,3.4721,30450.0
1733162400000,1733162400000,3.4721,3.7138,3.3505,3.7138,8327.0
1733184000000,1733184000000,3.7138,3.7187,3.4641,3.6582,6010.0
1733205600000,1733205600000,3.6582,3.6999,3.37,3.3771,10498.0
1733227200000,1733227200000,3.3771,3.459,3.3225,3.3225,8436.0
1733248800000,1733248800000,3.3225,3.7,3.2787,3.6076,17268.0
1733270400000,1733270400000,3.6076,3.78,3.472,3.6985,10278.0
1733292000000,1733292000000,3.6985,3.7349,3.5693,3.6401,8895.0
1733313600000,1733313600000,3.6401,3.7,3.3496,3.5787,17478.0
1733335200000,1733335200000,3.5787,3.8998,3.11,3.3001,102270.0
1733356800000,1733356800000,3.3001,3.536,3.25,3.3419,20292.0
1733378400000,1733378400000,3.3419,3.758,3.3001,3.6924,22798.0
1733400000000,1733400000000,3.6924,3.8,3.5212,3.6681,12869.0
1733421600000,1733421600000,3.6681,3.799,3.521,3.5562,12740.0
1733443200000,1733443200000,3.5562,5.5,3.5562,4.3661,71878.0
1733464800000,1733464800000,4.3661,4.5,4.05,4.12,36672.0
1733486400000,1733486400000,4.12,4.4019,4.003,4.2699,28069.0
1733508000000,1733508000000,4.2699,4.3016,4.05,4.07,7757.0
1733529600000,1733529600000,4.07,4.5,4.05,4.4355,17095.0
1733551200000,1733551200000,4.4355,4.4937,4.2734,4.3929,7114.0
1733572800000,1733572800000,4.3929,4.399,4.11,4.1803,7893.0
1733594400000,1733594400000,4.1803,4.4054,4.1803,4.3258,4774.0
1733616000000,1733616000000,4.3258,4.532,4.2806,4.5317,8199.0
1733637600000,1733637600000,4.5317,4.532,4.29,4.3417,5418.0
1733659200000,1733659200000,4.3417,4.384,4.1681,4.2473,16898.0
1733680800000,1733680800000,4.2473,4.3901,4.247,4.39,5081.0
1733702400000,1733702400000,4.39,4.4,4.1585,4.2202,14064.0
1733724000000,1733724000000,4.2202,4.4025,4.1586,4.318,12386.0
1733745600000,1733745600000,4.318,4.8998,4.2481,4.6729,64934.0
1733767200000,1733767200000,4.6729,4.71,4.2,4.3638,49467.0
1733788800000,1733788800000,4.3638,4.6679,4.2052,4.5099,17542.0
1733810400000,1733810400000,4.5099,6.9,4.4197,6.5874,751828.0
1733832000000,1733832000000,6.5874,8.97,4.1208,4.9017,19827762.0
1733853600000,1733853600000,4.9017,5.72,4.6327,5.6073,10479457.0
1733875200000,1733875200000,5.6073,7.3525,5.3555,5.8316,31386625.0
1733896800000,1733896800000,5.8316,5.835,4.9289,5.2795,12624680.0
1733918400000,1733918400000,5.2795,5.4898,4.954,5.0133,9610452.0
1733940000000,1733940000000,5.0133,5.4438,4.9599,5.4383,5076074.0
1733961600000,1733961600000,5.4383,5.5157,5.05,5.1258,6300254.0
1733983200000,1733983200000,5.1258,5.2493,4.8111,4.8593,5989098.0
1734004800000,1734004800000,4.8593,4.9645,4.6444,4.7824,5693164.0
1734026400000,1734026400000,4.7824,4.7879,4.3614,4.4915,6356124.0
1734048000000,1734048000000,4.4915,4.4961,4.1316,4.1919,9404259.0
1734069600000,1734069600000,4.1919,4.3261,4.0803,4.3122,6599133.0
1734091200000,1734091200000,4.3122,4.399,4.0237,4.3141,9827135.0
1734112800000,1734112800000,4.3141,4.332,4.1882,4.2714,2221046.0
1734134400000,1734134400000,4.2714,4.5091,4.2091,4.3416,5850222.0
1734156000000,1734156000000,4.3416,4.3949,4.1141,4.2023,3135632.0
1734177600000,1734177600000,4.2023,4.2082,3.839,3.8672,5546933.0
1734199200000,1734199200000,3.8672,3.9036,3.7332,3.8899,3456369.0
1734220800000,1734220800000,3.8899,3.9552,3.7678,3.8614,3739639.0
1734242400000,1734242400000,3.8614,3.9034,3.7536,3.8297,3351459.0
1734264000000,1734264000000,3.8297,3.9592,3.7798,3.839,3317186.0
1734285600000,1734285600000,3.839,3.8869,3.6459,3.8533,3649821.0
1734307200000,1734307200000,3.8533,3.9264,3.6592,3.7008,3880273.0
1734328800000,1734328800000,3.7008,3.7521,3.4903,3.5095,4887869.0
1734350400000,1734350400000,3.5095,3.6305,3.4966,3.5799,3445524.0
1734372000000,1734372000000,3.5799,3.63,3.5041,3.5488,2275960.0
1734393600000,1734393600000,3.5488,3.5592,3.2405,3.362,6159944.0
1734415200000,1734415200000,3.362,3.371,3.2523,3.2803,3011325.0
1734436800000,1734436800000,3.2803,3.3389,3.0455,3.1475,6851185.0
1734458400000,1734458400000,3.1475,3.2209,2.9826,3.0411,3660501.0
1734480000000,1734480000000,3.0411,3.1481,2.9706,3.0649,5592898.0
1734501600000,1734501600000,3.0649,3.1932,3.0231,3.1041,4351804.0
1734523200000,1734523200000,3.1041,3.1467,3.0265,3.0875,4645003.0
1734544800000,1734544800000,3.0875,3.144,2.6362,2.796,8961817.0
