timestamp,time,open,high,low,close,volume
1695880800000,1695880800000,7.235,7.304,7.212,7.239,23111.75
1695902400000,1695902400000,7.239,7.371,7.231,7.331,20013.2
1695924000000,1695924000000,7.331,7.344,7.263,7.325,11768.07
1695945600000,1695945600000,7.325,7.343,7.275,7.337,5802.98
1695967200000,1695967200000,7.337,7.418,7.3,7.308,14144.38
1695988800000,1695988800000,7.308,7.349,7.222,7.31,23918.51
1696010400000,1696010400000,7.31,7.365,7.27,7.336,19774.86
1696032000000,1696032000000,7.336,7.374,7.306,7.319,15150.38
1696053600000,1696053600000,7.319,7.352,7.228,7.274,31763.5
1696075200000,1696075200000,7.274,7.381,7.274,7.375,29407.04
1696096800000,1696096800000,7.375,7.399,7.323,7.333,24650.43
1696118400000,1696118400000,7.333,7.436,7.331,7.428,12042.16
1696140000000,1696140000000,7.428,7.541,7.406,7.484,55732.74
1696161600000,1696161600000,7.484,7.594,7.417,7.419,44852.71
1696183200000,1696183200000,7.419,7.663,7.419,7.603,40901.56
1696204800000,1696204800000,7.603,7.618,7.5,7.536,27176.28
1696226400000,1696226400000,7.536,7.651,7.524,7.573,28726.69
1696248000000,1696248000000,7.573,7.61,7.354,7.431,103381.78
1696269600000,1696269600000,7.431,7.436,7.169,7.34,82782.09
1696291200000,1696291200000,7.34,7.501,7.327,7.352,74676.1
1696312800000,1696312800000,7.352,7.401,7.289,7.33,70713.85
1696334400000,1696334400000,7.33,7.33,7.183,7.266,45896.91
1696356000000,1696356000000,7.266,7.266,7.147,7.174,18640.42
1696377600000,1696377600000,7.174,7.176,6.887,7.103,69125.03
1696399200000,1696399200000,7.103,7.132,7.038,7.066,47042.21
1696420800000,1696420800000,7.066,7.09,7.0,7.074,40809.17
1696442400000,1696442400000,7.074,7.174,7.066,7.138,22832.15
1696464000000,1696464000000,7.138,7.17,7.087,7.131,16776.43
1696485600000,1696485600000,7.131,7.15,7.099,7.124,18864.35
1696507200000,1696507200000,7.124,7.133,6.985,7.027,37838.74
1696528800000,1696528800000,7.027,7.072,7.004,7.029,8904.74
1696550400000,1696550400000,7.029,7.111,7.028,7.077,5565.74
1696572000000,1696572000000,7.077,7.107,7.046,7.061,8110.16
1696593600000,1696593600000,7.061,7.14,6.998,7.137,32424.17
1696615200000,1696615200000,7.137,7.17,7.111,7.129,9093.14
1696636800000,1696636800000,7.129,7.163,7.101,7.156,12647.09
1696658400000,1696658400000,7.156,7.21,7.107,7.139,27211.88
1696680000000,1696680000000,7.139,7.179,7.127,7.153,14768.32
1696701600000,1696701600000,7.153,7.202,7.124,7.194,12541.2
1696723200000,1696723200000,7.194,7.233,7.137,7.162,10424.5
1696744800000,1696744800000,7.162,7.171,7.079,7.09,9711.29
1696766400000,1696766400000,7.09,7.153,7.089,7.113,18741.39
1696788000000,1696788000000,7.113,7.172,7.099,7.17,9761.35
1696809600000,1696809600000,7.17,7.17,7.093,7.133,8156.92
