timestamp,time,open,high,low,close,volume
1742472000000,1742472000000,0.9,1.0998,0.8635,0.9159,4733750.0
1742493600000,1742493600000,0.9159,0.97,0.8528,0.9699,1061045.0
1742515200000,1742515200000,0.9699,0.97,0.9202,0.9294,396611.0
1742536800000,1742536800000,0.9294,0.9439,0.8837,0.902,881449.0
1742558400000,1742558400000,0.902,0.9195,0.8725,0.8808,284246.0
1742580000000,1742580000000,0.8808,0.95,0.8755,0.9002,364106.0
1742601600000,1742601600000,0.9002,0.9098,0.861,0.8898,371171.0
1742623200000,1742623200000,0.8898,0.9294,0.878,0.9275,408560.0
1742644800000,1742644800000,0.9275,0.9455,0.9001,0.9226,613023.0
1742666400000,1742666400000,0.9226,0.95,0.902,0.9294,535166.0
1742688000000,1742688000000,0.9294,0.9294,0.8725,0.8977,194145.0
1742709600000,1742709600000,0.8977,0.916,0.8839,0.893,193738.0
1742731200000,1742731200000,0.893,0.9109,0.8701,0.8773,217184.0
1742752800000,1742752800000,0.8773,0.883,0.8632,0.8724,184712.0
1742774400000,1742774400000,0.8724,0.8772,0.8511,0.859,436388.0
1742796000000,1742796000000,0.859,1.0728,0.8352,0.9268,4173299.0
1742817600000,1742817600000,0.9268,0.9336,0.6615,0.7525,126568211.0
1742839200000,1742839200000,0.7525,0.7706,0.6712,0.7265,33490963.0
1742860800000,1742860800000,0.7265,0.8,0.6764,0.7504,26361458.0
1742882400000,1742882400000,0.7504,0.8491,0.7268,0.7688,41683247.0
1742904000000,1742904000000,0.7688,0.7688,0.6127,0.6469,47327497.0
1742925600000,1742925600000,0.6469,0.6473,0.5972,0.6293,16940227.0
1742947200000,1742947200000,0.6293,0.6636,0.6155,0.6442,19299302.0
1742968800000,1742968800000,0.6442,0.6542,0.6112,0.6282,18546966.0
1742990400000,1742990400000,0.6282,0.6476,0.5672,0.5894,35723673.0
1743012000000,1743012000000,0.5894,0.6013,0.5441,0.5615,18298191.0
1743033600000,1743033600000,0.5615,0.6408,0.5564,0.6199,21205465.0
1743055200000,1743055200000,0.6199,0.6629,0.6021,0.6224,22971493.0
1743076800000,1743076800000,0.6224,0.686,0.6051,0.6158,33170419.0
1743098400000,1743098400000,0.6158,0.6391,0.6008,0.6242,10315400.0
1743120000000,1743120000000,0.6242,0.6352,0.56,0.5698,17479192.0
1743141600000,1743141600000,0.5698,0.5768,0.5491,0.5569,11244506.0
1743163200000,1743163200000,0.5569,0.5624,0.5292,0.5459,15658854.0
1743184800000,1743184800000,0.5459,0.554,0.52,0.53,8134348.0
1743206400000,1743206400000,0.53,0.5385,0.507,0.527,8123959.0
1743228000000,1743228000000,0.527,0.5296,0.4866,0.492,11286884.0
1743249600000,1743249600000,0.492,0.5143,0.4762,0.4787,9876471.0
1743271200000,1743271200000,0.4787,0.5124,0.4714,0.5095,6901190.0
1743292800000,1743292800000,0.5095,0.5338,0.5026,0.5258,10699314.0
1743314400000,1743314400000,0.5258,0.53,0.5012,0.5117,8853503.0
1743336000000,1743336000000,0.5117,0.5468,0.5117,0.5353,14909876.0
1743357600000,1743357600000,0.5353,0.554,0.5186,0.5417,8451650.0
1743379200000,1743379200000,0.5417,0.5479,0.5044,0.5117,11548869.0
1743400800000,1743400800000,0.5117,0.5125,0.4776,0.4916,8016247.0
1743422400000,1743422400000,0.4916,0.5134,0.4788,0.504,8611297.0
1743444000000,1743444000000,0.504,0.5327,0.4963,0.5031,7367745.0
1743465600000,1743465600000,0.5031,0.5605,0.5003,0.5372,9454292.0
1743487200000,1743487200000,0.5372,0.5643,0.5202,0.5219,14615311.0
1743508800000,1743508800000,0.5219,0.5655,0.5125,0.5172,12704831.0
1743530400000,1743530400000,0.5172,0.5172,0.4854,0.5032,8337026.0
1743552000000,1743552000000,0.5032,0.5071,0.4368,0.4442,19279191.0
1743573600000,1743573600000,0.4442,0.4679,0.4424,0.4495,11870325.0
1743595200000,1743595200000,0.4495,0.4887,0.4361,0.4687,17376941.0
1743616800000,1743616800000,0.4687,0.4866,0.42,0.4285,16386330.0
1743638400000,1743638400000,0.4285,0.4622,0.4277,0.4485,5077812.0
1743660000000,1743660000000,0.4485,0.4551,0.4268,0.4492,4728180.0
1743681600000,1743681600000,0.4492,0.4529,0.4125,0.4222,11573384.0
1743703200000,1743703200000,0.4222,0.4415,0.4176,0.4198,5219222.0
1743724800000,1743724800000,0.4198,0.4316,0.4077,0.426,6369064.0
1743746400000,1743746400000,0.426,0.4421,0.4075,0.4085,8175911.0
1743768000000,1743768000000,0.4085,0.4339,0.4043,0.4332,9582345.0
1743789600000,1743789600000,0.4332,0.4377,0.423,0.4275,3281447.0
1743811200000,1743811200000,0.4275,0.4454,0.4257,0.4352,3915928.0
1743832800000,1743832800000,0.4352,0.466,0.435,0.4451,6282878.0
1743854400000,1743854400000,0.4451,0.4588,0.425,0.4262,5972450.0
1743876000000,1743876000000,0.4262,0.4313,0.4076,0.4226,4386723.0
1743897600000,1743897600000,0.4226,0.4281,0.4106,0.4228,2357330.0
1743919200000,1743919200000,0.4228,0.4527,0.4152,0.4456,8976710.0
1743940800000,1743940800000,0.4456,0.45,0.3962,0.4016,13965714.0
1743962400000,1743962400000,0.4016,0.445,0.3843,0.4424,15375614.0
1743984000000,1743984000000,0.4424,0.4623,0.4275,0.4452,14989415.0
1744005600000,1744005600000,0.4452,0.468,0.4173,0.4317,24544252.0
1744027200000,1744027200000,0.4317,0.5142,0.4288,0.4526,30351502.0
1744048800000,1744048800000,0.4526,0.4534,0.4221,0.4338,5428075.0
1744070400000,1744070400000,0.4338,0.4674,0.4125,0.4128,11737660.0
1744092000000,1744092000000,0.4128,0.4244,0.402,0.4198,17991924.0
1744113600000,1744113600000,0.4198,0.4343,0.3968,0.4115,18766906.0
1744135200000,1744135200000,0.4115,0.4135,0.3466,0.3559,27423080.0
1744156800000,1744156800000,0.3559,0.3664,0.3462,0.3634,22102044.0
1744178400000,1744178400000,0.3634,0.3932,0.363,0.3807,22702283.0
1744200000000,1744200000000,0.3807,0.4096,0.3771,0.408,26241339.0
1744221600000,1744221600000,0.408,0.4212,0.4016,0.4168,13412386.0
1744243200000,1744243200000,0.4168,0.4182,0.3901,0.3925,10637719.0
1744264800000,1744264800000,0.3925,0.3995,0.3717,0.3737,10134256.0
1744286400000,1744286400000,0.3737,0.3987,0.372,0.3886,13852405.0
1744308000000,1744308000000,0.3886,0.3947,0.3805,0.3855,5351349.0
1744329600000,1744329600000,0.3855,0.3952,0.3745,0.3932,9058424.0
1744351200000,1744351200000,0.3932,0.4085,0.3793,0.4051,11792924.0
1744372800000,1744372800000,0.4051,0.4341,0.3993,0.4204,13500218.0
1744394400000,1744394400000,0.4204,0.4374,0.4101,0.4279,9158623.0
1744416000000,1744416000000,0.4279,0.4444,0.3949,0.441,16215296.0
1744437600000,1744437600000,0.441,0.4532,0.4223,0.4325,14067637.0
1744459200000,1744459200000,0.4325,0.4959,0.4309,0.4774,26096718.0
1744480800000,1744480800000,0.4774,0.4824,0.4438,0.4488,8646161.0
1744502400000,1744502400000,0.4488,0.4613,0.4427,0.4452,7547788.0
1744524000000,1744524000000,0.4452,0.4537,0.4324,0.4377,5417484.0
1744545600000,1744545600000,0.4377,0.4418,0.4251,0.4376,5214148.0
1744567200000,1744567200000,0.4376,0.4411,0.3784,0.3945,16527771.0
1744588800000,1744588800000,0.3945,0.4119,0.3906,0.4004,5574695.0
1744610400000,1744610400000,0.4004,0.4086,0.3925,0.4054,4448243.0
1744632000000,1744632000000,0.4054,0.4123,0.379,0.3914,8930482.0
1744653600000,1744653600000,0.3914,0.3926,0.3823,0.384,3359544.0
1744675200000,1744675200000,0.384,0.3844,0.3728,0.3771,3598836.0
1744696800000,1744696800000,0.3771,0.3874,0.3755,0.3792,3408705.0
1744718400000,1744718400000,0.3792,0.3839,0.3613,0.3633,6452015.0
1744740000000,1744740000000,0.3633,0.3712,0.359,0.3633,3486710.0
1744761600000,1744761600000,0.3633,0.366,0.3524,0.3549,3926992.0
1744783200000,1744783200000,0.3549,0.3602,0.3433,0.3491,4577011.0
1744804800000,1744804800000,0.3491,0.3497,0.328,0.3329,7892316.0
1744826400000,1744826400000,0.3329,0.3469,0.3324,0.3382,3845695.0
1744848000000,1744848000000,0.3382,0.3444,0.3347,0.3421,2690018.0
1744869600000,1744869600000,0.3421,0.3425,0.3314,0.3347,3321035.0
1744891200000,1744891200000,0.3347,0.3444,0.3255,0.3411,4619993.0
1744912800000,1744912800000,0.3411,0.3528,0.3341,0.3491,3227603.0
1744934400000,1744934400000,0.3491,0.3506,0.3435,0.3504,2035900.0
1744956000000,1744956000000,0.3504,0.3591,0.348,0.3563,2934943.0
1744977600000,1744977600000,0.3563,0.3604,0.3498,0.3571,2610720.0
1744999200000,1744999200000,0.3571,0.3573,0.3484,0.3535,1720785.0
1745020800000,1745020800000,0.3535,0.3597,0.3488,0.3509,1760711.0
1745042400000,1745042400000,0.3509,0.3602,0.3482,0.3557,3748011.0
1745064000000,1745064000000,0.3557,0.3607,0.3517,0.3597,1633662.0
1745085600000,1745085600000,0.3597,0.3809,0.3595,0.3808,2856454.0
1745107200000,1745107200000,0.3808,0.3857,0.3721,0.3742,4044747.0
1745128800000,1745128800000,0.3742,0.3768,0.3567,0.3616,2654568.0
1745150400000,1745150400000,0.3616,0.378,0.36,0.3718,1913736.0
1745172000000,1745172000000,0.3718,0.3789,0.3617,0.3785,2596777.0
1745193600000,1745193600000,0.3785,0.3853,0.3729,0.3848,1999880.0
1745215200000,1745215200000,0.3848,0.3848,0.3684,0.3701,1792960.0
1745236800000,1745236800000,0.3701,0.3897,0.3698,0.3778,3519597.0
1745258400000,1745258400000,0.3778,0.3867,0.3721,0.3752,2350589.0
1745280000000,1745280000000,0.3752,0.3866,0.3516,0.3532,3522090.0
1745301600000,1745301600000,0.3532,0.3702,0.3478,0.3665,3413726.0
1745323200000,1745323200000,0.3665,0.3874,0.3656,0.3738,6458246.0
1745344800000,1745344800000,0.3738,0.4095,0.3723,0.4069,4181917.0
