timestamp,time,open,high,low,close,volume
1715148000000,1715148000000,0.1438,0.1494,0.1413,0.1449,2560323.0
1715169600000,1715169600000,0.1449,0.1477,0.1411,0.1437,32321774.0
1715191200000,1715191200000,0.1437,0.146,0.1377,0.1411,8869009.0
1715212800000,1715212800000,0.1411,0.1445,0.1405,0.144,4424727.0
1715234400000,1715234400000,0.144,0.1462,0.1396,0.1416,7216111.0
1715256000000,1715256000000,0.1416,0.1481,0.1416,0.1447,7505575.0
1715277600000,1715277600000,0.1447,0.15,0.1447,0.1482,3641515.0
1715299200000,1715299200000,0.1482,0.1508,0.146,0.1468,4207656.0
1715320800000,1715320800000,0.1468,0.1542,0.1462,0.1538,5243089.0
1715342400000,1715342400000,0.1538,0.1545,0.1387,0.1408,14131316.0
1715364000000,1715364000000,0.1408,0.1438,0.14,0.1407,1855070.0
1715385600000,1715385600000,0.1407,0.1429,0.1398,0.1412,1958437.0
1715407200000,1715407200000,0.1412,0.1424,0.1333,0.1345,6681040.0
1715428800000,1715428800000,0.1345,0.1387,0.1341,0.1371,8705305.0
1715450400000,1715450400000,0.1371,0.1375,0.1333,0.1341,2550362.0
1715472000000,1715472000000,0.1341,0.1352,0.1313,0.1345,2130880.0
1715493600000,1715493600000,0.1345,0.1359,0.1324,0.1346,3421056.0
1715515200000,1715515200000,0.1346,0.1366,0.1329,0.1344,2557007.0
1715536800000,1715536800000,0.1344,0.1351,0.1315,0.1334,1700646.0
1715558400000,1715558400000,0.1334,0.1349,0.1207,0.1228,9867930.0
1715580000000,1715580000000,0.1228,0.1291,0.1226,0.1235,5717857.0
1715601600000,1715601600000,0.1235,0.1238,0.1163,0.1185,10390920.0
1715623200000,1715623200000,0.1185,0.1211,0.116,0.1198,4162325.0
1715644800000,1715644800000,0.1198,0.12,0.1121,0.1143,9124851.0
1715666400000,1715666400000,0.1143,0.1144,0.1105,0.1122,6403423.0
1715688000000,1715688000000,0.1122,0.1153,0.1078,0.1094,8909135.0
1715709600000,1715709600000,0.1094,0.111,0.1071,0.109,4551275.0
1715731200000,1715731200000,0.109,0.1125,0.108,0.111,2335128.0
1715752800000,1715752800000,0.111,0.1149,0.1058,0.1108,9504986.0
1715774400000,1715774400000,0.1108,0.1187,0.1086,0.1131,15006224.0
1715796000000,1715796000000,0.1131,0.1165,0.112,0.1142,3934503.0
1715817600000,1715817600000,0.1142,0.1151,0.1109,0.1115,3478255.0
1715839200000,1715839200000,0.1115,0.1166,0.1111,0.1129,7419577.0
1715860800000,1715860800000,0.1129,0.1129,0.0991,0.1064,24261410.0
1715882400000,1715882400000,0.1064,0.1069,0.1044,0.1051,5197556.0
1715904000000,1715904000000,0.1051,0.1068,0.1038,0.1058,6624881.0
1715925600000,1715925600000,0.1058,0.1085,0.1038,0.1047,7614379.0
1715947200000,1715947200000,0.1047,0.1119,0.1042,0.1098,11699584.0
1715968800000,1715968800000,0.1098,0.1115,0.1087,0.1095,3749588.0
1715990400000,1715990400000,0.1095,0.1126,0.1077,0.1093,5759766.0
1716012000000,1716012000000,0.1093,0.1102,0.1067,0.1077,5585997.0
1716033600000,1716033600000,0.1077,0.1125,0.1043,0.1123,10275545.0
1716055200000,1716055200000,0.1123,0.114,0.1084,0.109,7720664.0
1716076800000,1716076800000,0.109,0.1131,0.1083,0.1093,4923729.0
1716098400000,1716098400000,0.1093,0.1122,0.1064,0.108,7799657.0
1716120000000,1716120000000,0.108,0.1185,0.1032,0.1085,72339642.0
1716141600000,1716141600000,0.1085,0.109,0.1035,0.1043,18490150.0
1716163200000,1716163200000,0.1043,0.1054,0.1003,0.1044,10481516.0
1716184800000,1716184800000,0.1044,0.1045,0.1011,0.1028,9341353.0
1716206400000,1716206400000,0.1028,0.1077,0.1012,0.1073,18094708.0
