timestamp,time,open,high,low,close,volume
1695880800000,1695880800000,1.779,1.869,1.774,1.855,4938509.4
1695902400000,1695902400000,1.855,1.965,1.855,1.922,8292219.3
1695924000000,1695924000000,1.922,1.933,1.902,1.928,3176633.4
1695945600000,1695945600000,1.928,1.948,1.911,1.92,2814112.5
1695967200000,1695967200000,1.92,1.983,1.906,1.957,6339444.8
1695988800000,1695988800000,1.957,2.005,1.93,1.946,8881476.1
1696010400000,1696010400000,1.946,2.003,1.938,1.994,3029922.0
1696032000000,1696032000000,1.994,2.028,1.964,1.969,3531626.4
1696053600000,1696053600000,1.969,1.975,1.929,1.95,3069588.4
1696075200000,1696075200000,1.95,1.958,1.909,1.928,5468593.0
1696096800000,1696096800000,1.928,1.937,1.893,1.925,2203600.7
1696118400000,1696118400000,1.925,1.993,1.873,1.91,4241408.8
1696140000000,1696140000000,1.91,1.975,1.903,1.96,3216263.3
1696161600000,1696161600000,1.96,1.962,1.895,1.936,4387601.8
1696183200000,1696183200000,1.936,2.28,1.934,2.149,21065473.6
1696204800000,1696204800000,2.149,2.196,2.123,2.164,4799974.6
1696226400000,1696226400000,2.164,2.219,2.136,2.164,8421478.1
1696248000000,1696248000000,2.164,2.186,1.983,1.992,11166042.2
1696269600000,1696269600000,1.992,2.031,1.915,2.022,10667604.2
1696291200000,1696291200000,2.022,2.044,1.959,2.016,5970537.0
1696312800000,1696312800000,2.016,2.062,2.007,2.02,4405014.9
1696334400000,1696334400000,2.02,2.057,1.973,1.999,6921315.9
1696356000000,1696356000000,1.999,2.003,1.906,1.993,6577325.2
1696377600000,1696377600000,1.993,1.997,1.935,1.987,3656216.3
1696399200000,1696399200000,1.987,2.008,1.953,1.977,3649389.1
1696420800000,1696420800000,1.977,2.027,1.919,1.945,8496349.2
1696442400000,1696442400000,1.945,2.077,1.863,2.046,11922452.7
1696464000000,1696464000000,2.046,2.067,1.956,2.049,8296443.5
1696485600000,1696485600000,2.049,2.112,2.012,2.023,14510146.8
1696507200000,1696507200000,2.023,2.086,1.961,2.065,11692752.1
1696528800000,1696528800000,2.065,2.073,1.922,2.018,10273447.0
1696550400000,1696550400000,2.018,2.054,1.974,1.982,6491779.9
1696572000000,1696572000000,1.982,1.986,1.82,1.834,13204852.4
1696593600000,1696593600000,1.834,1.861,1.728,1.763,23471016.1
1696615200000,1696615200000,1.763,1.793,1.738,1.76,8699647.9
1696636800000,1696636800000,1.76,1.803,1.74,1.781,5242970.1
1696658400000,1696658400000,1.781,1.801,1.761,1.764,5151441.6
1696680000000,1696680000000,1.764,1.803,1.707,1.711,8802564.3
1696701600000,1696701600000,1.711,1.755,1.694,1.74,7905524.4
1696723200000,1696723200000,1.74,1.744,1.68,1.738,7548140.3
1696744800000,1696744800000,1.738,1.742,1.679,1.705,3881373.9
1696766400000,1696766400000,1.705,1.736,1.698,1.717,2504441.3
1696788000000,1696788000000,1.717,1.746,1.714,1.733,2070460.4
1696809600000,1696809600000,1.733,1.733,1.711,1.719,2012941.9
1696831200000,1696831200000,1.719,1.723,1.613,1.627,9200684.8
1696852800000,1696852800000,1.627,1.646,1.586,1.618,7277494.5
1696874400000,1696874400000,1.618,1.629,1.6,1.616,3506262.0
1696896000000,1696896000000,1.616,1.663,1.613,1.658,3467306.6
1696917600000,1696917600000,1.658,1.697,1.657,1.675,4541509.4
1696939200000,1696939200000,1.675,1.688,1.655,1.68,5822477.5
1696960800000,1696960800000,1.68,1.69,1.665,1.682,2110112.9
1696982400000,1696982400000,1.682,1.682,1.635,1.658,3155144.4
1697004000000,1697004000000,1.658,1.674,1.643,1.664,2012612.4
1697025600000,1697025600000,1.664,1.671,1.612,1.615,4295006.8
1697047200000,1697047200000,1.615,1.636,1.609,1.632,1365428.9
1697068800000,1697068800000,1.632,1.633,1.527,1.546,7865052.0
1697090400000,1697090400000,1.546,1.549,1.497,1.518,4980757.3
1697112000000,1697112000000,1.518,1.52,1.467,1.482,4884901.1
1697133600000,1697133600000,1.482,1.646,1.466,1.643,9754870.1
1697155200000,1697155200000,1.643,1.69,1.64,1.68,6588672.4
1697176800000,1697176800000,1.68,1.712,1.634,1.674,12809269.1
1697198400000,1697198400000,1.674,1.688,1.651,1.652,6411339.4
1697220000000,1697220000000,1.652,1.694,1.641,1.662,7889409.7
1697241600000,1697241600000,1.662,1.673,1.654,1.657,1470011.0
1697263200000,1697263200000,1.657,1.664,1.636,1.638,2495285.5
1697284800000,1697284800000,1.638,1.654,1.626,1.642,3210888.1
1697306400000,1697306400000,1.642,1.649,1.63,1.631,1381304.9
1697328000000,1697328000000,1.631,1.674,1.631,1.659,9932613.2
1697349600000,1697349600000,1.659,1.662,1.647,1.648,1082623.4
1697371200000,1697371200000,1.648,1.659,1.634,1.656,2257054.3
1697392800000,1697392800000,1.656,1.672,1.621,1.656,5619418.4
1697414400000,1697414400000,1.656,1.735,1.649,1.716,8347264.4
1697436000000,1697436000000,1.716,1.732,1.674,1.678,17075072.3
1697457600000,1697457600000,1.678,1.784,1.64,1.646,13066893.0
1697479200000,1697479200000,1.646,1.671,1.635,1.636,2485451.0
1697500800000,1697500800000,1.636,1.64,1.576,1.582,3090664.0
1697522400000,1697522400000,1.582,1.597,1.553,1.554,4335825.8
