timestamp,time,open,high,low,close,volume
1755928800000,1755928800000,0.39,0.4423,0.38,0.4372,37738215.0
1755950400000,1755950400000,0.4372,0.4392,0.3514,0.3641,105691737.0
1755972000000,1755972000000,0.3641,0.3676,0.2611,0.3002,105720620.0
1755993600000,1755993600000,0.3002,0.3119,0.2617,0.2782,63704283.0
1756015200000,1756015200000,0.2782,0.2835,0.2279,0.2437,94098423.0
1756036800000,1756036800000,0.2437,0.2489,0.215,0.2282,87245816.0
1756058400000,1756058400000,0.2282,0.2391,0.203,0.2278,96505973.0
1756080000000,1756080000000,0.2278,0.2396,0.2167,0.2338,32288567.0
1756101600000,1756101600000,0.2338,0.246,0.2113,0.2187,47906519.0
1756123200000,1756123200000,0.2187,0.2269,0.2103,0.2222,34386959.0
1756144800000,1756144800000,0.2222,0.2442,0.2145,0.2346,42231866.0
1756166400000,1756166400000,0.2346,0.2599,0.2245,0.248,50540320.0
1756188000000,1756188000000,0.248,0.2723,0.2401,0.2423,66624945.0
1756209600000,1756209600000,0.2423,0.2551,0.228,0.2514,42033396.0
1756231200000,1756231200000,0.2514,0.2716,0.2464,0.27,42084435.0
1756252800000,1756252800000,0.27,0.2763,0.2565,0.2642,31084107.0
1756274400000,1756274400000,0.2642,0.2841,0.2558,0.2747,47995892.0
1756296000000,1756296000000,0.2747,0.2814,0.2571,0.2617,39173833.0
1756317600000,1756317600000,0.2617,0.2646,0.2494,0.2638,25585382.0
1756339200000,1756339200000,0.2638,0.273,0.2572,0.267,16388949.0
1756360800000,1756360800000,0.267,0.2794,0.265,0.2753,22303255.0
1756382400000,1756382400000,0.2753,0.3239,0.2686,0.3226,61222261.0
1756404000000,1756404000000,0.3226,0.3381,0.2853,0.2927,56181222.0
1756425600000,1756425600000,0.2927,0.3181,0.2907,0.3039,25736188.0
1756447200000,1756447200000,0.3039,0.3083,0.2873,0.2999,33509444.0
1756468800000,1756468800000,0.2999,0.3076,0.2801,0.2847,36600046.0
1756490400000,1756490400000,0.2847,0.2848,0.2581,0.2743,35476303.0
1756512000000,1756512000000,0.2743,0.2806,0.2667,0.277,16503997.0
1756533600000,1756533600000,0.277,0.2828,0.2726,0.2797,24424083.0
1756555200000,1756555200000,0.2797,0.2892,0.2674,0.2771,27126319.0
1756576800000,1756576800000,0.2771,0.2913,0.2757,0.2888,20571605.0
1756598400000,1756598400000,0.2888,0.315,0.2849,0.3084,42852876.0
1756620000000,1756620000000,0.3084,0.399,0.308,0.3966,156770923.0
1756641600000,1756641600000,0.3966,0.4,0.302,0.3179,224410447.0
1756663200000,1756663200000,0.3179,0.3447,0.3018,0.3202,82292485.0
1756684800000,1756684800000,0.3202,0.3821,0.3162,0.343,214048345.0
1756706400000,1756706400000,0.343,0.347,0.268,0.2934,337450115.0
1756728000000,1756728000000,0.2934,0.3258,0.2309,0.249,1790764997.0
1756749600000,1756749600000,0.249,0.2513,0.207,0.2333,1181256278.0
1756771200000,1756771200000,0.2333,0.2521,0.2236,0.2412,641011064.0
1756792800000,1756792800000,0.2412,0.26,0.2355,0.2427,624545985.0
1756814400000,1756814400000,0.2427,0.2434,0.2157,0.2301,992643642.0
1756836000000,1756836000000,0.2301,0.2378,0.2206,0.2273,428250477.0
1756857600000,1756857600000,0.2273,0.2335,0.222,0.2329,242916180.0
1756879200000,1756879200000,0.2329,0.2347,0.2205,0.23,354235463.0
1756900800000,1756900800000,0.23,0.2313,0.2126,0.2213,466321945.0
1756922400000,1756922400000,0.2213,0.2236,0.2094,0.2175,306415957.0
1756944000000,1756944000000,0.2175,0.2188,0.1813,0.1876,711584012.0
1756965600000,1756965600000,0.1876,0.1884,0.1719,0.1787,940411429.0
1756987200000,1756987200000,0.1787,0.1953,0.1612,0.1771,1627986261.0
1757008800000,1757008800000,0.1771,0.1904,0.1743,0.1865,638299895.0
1757030400000,1757030400000,0.1865,0.19,0.1777,0.1846,515774148.0
1757052000000,1757052000000,0.1846,0.1932,0.179,0.1902,580232054.0
1757073600000,1757073600000,0.1902,0.1916,0.1769,0.1808,767107150.0
1757095200000,1757095200000,0.1808,0.185,0.1736,0.1813,319802216.0
1757116800000,1757116800000,0.1813,0.1853,0.1801,0.1845,175356381.0
1757138400000,1757138400000,0.1845,0.2006,0.1827,0.1939,469893129.0
1757160000000,1757160000000,0.1939,0.1992,0.1898,0.1935,396228963.0
1757181600000,1757181600000,0.1935,0.2187,0.1915,0.2158,638445861.0
1757203200000,1757203200000,0.2158,0.2446,0.2143,0.2385,626675783.0
1757224800000,1757224800000,0.2385,0.2429,0.2232,0.2321,608715592.0
1757246400000,1757246400000,0.2321,0.2327,0.2178,0.2275,479413704.0
1757268000000,1757268000000,0.2275,0.2324,0.2214,0.225,327455389.0
1757289600000,1757289600000,0.225,0.233,0.2068,0.209,500395523.0
1757311200000,1757311200000,0.209,0.2125,0.2014,0.2082,553956749.0
1757332800000,1757332800000,0.2082,0.2183,0.2072,0.2122,450356527.0
1757354400000,1757354400000,0.2122,0.213,0.2044,0.2111,213143802.0
1757376000000,1757376000000,0.2111,0.2148,0.201,0.2128,299767378.0
1757397600000,1757397600000,0.2128,0.2237,0.2116,0.2159,261650767.0
1757419200000,1757419200000,0.2159,0.2162,0.1909,0.1952,687779181.0
1757440800000,1757440800000,0.1952,0.2044,0.195,0.2005,214738428.0
1757462400000,1757462400000,0.2005,0.2063,0.197,0.2027,225615690.0
1757484000000,1757484000000,0.2027,0.2124,0.1977,0.2087,364140771.0
1757505600000,1757505600000,0.2087,0.2128,0.1961,0.2013,409591284.0
1757527200000,1757527200000,0.2013,0.2033,0.1954,0.202,160256498.0
1757548800000,1757548800000,0.202,0.2032,0.1966,0.1989,148018949.0
1757570400000,1757570400000,0.1989,0.2061,0.1981,0.2004,187961064.0
1757592000000,1757592000000,0.2004,0.2045,0.197,0.1995,284814831.0
1757613600000,1757613600000,0.1995,0.2028,0.1856,0.1998,422132202.0
1757635200000,1757635200000,0.1998,0.2033,0.1938,0.1998,234172996.0
1757656800000,1757656800000,0.1998,0.2019,0.1965,0.198,122980899.0
1757678400000,1757678400000,0.198,0.2103,0.1959,0.2088,350203288.0
1757700000000,1757700000000,0.2088,0.2127,0.2045,0.2073,153387281.0
